L_id	headword	headword_slp1	root	root_slp1	root_source	prefixes	karaka	karaka_sense	affix	affix_slp1	group	anubandha	anubandha_steps	affix_source	context
41	akaraṇaṃ	akaraRaM	kṛ	kf	local		BAve	action / abstract (bhāve)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	{#akaraRaM#}¦ [{#kf-BAve lyuw na#}
45	akartana	akartana	kṛt	kft	local		BAve	action / abstract (bhāve)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	{#akartana#}¦ {%<ab>a.</ab>%} [{#kft-BAve lyuw na#}
133	akṣara	akzara					BAve	action / abstract (bhāve)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	n. {#--(vi) nyAsaH#} [{#za#}. {#ta#}. {#BAve GaY#}] w
213	agniḥ	agniH	kartṛtvopacārāt	kartftvopacArAt	local		kartari	agent (kartari)	ṇvul	Rvul	Agent — the doer	kṛt affix 'ṇvul' -> -aka; agent noun (vṛddhi) | anubandha: nit (.n): causes vrddhi of the base vowel (7.2.115-117); indicatory u: distinguishes the affix; conditions i.t in some forms; lit: acute on the vowel just before the it-letter (6.1.193)	ṇ = it (→ vṛddhi) ; l = it ; vu → aka (P.7.1.1) ; → -aka	Apte-SH(affix_map.tsv)	="ka#rtftvopacArAt"/> {#kartftvopacArAt kartari Rvul#}] {
213	agniḥ	agniH					karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	damanI#} [{#agnirdamyate 'nayA; dam-Ric karaRe lyuw#}] a
213	agniḥ	agniH	maṃth	maMT	local		karaRe	instrument (karaṇe)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	{#--(TaH)#} [{#agnirmaTyate anena maMT-karaRe GaY#}] [
236	agha	aGa	agh	aG	local		kartari	agent (kartari)	ac	ac	Agent — the doer	kṛt affix 'ac' -> -a; agent / action -a | anubandha: cit: final acute accent, antodatta (6.1.163)	c = it ; → -a	Apte-SH(affix_map.tsv)	{#aGa#}¦ {%<ab>a.</ab>%} [{#aG-kartari ac#}] B
236	agha	aGa	agh	aG	local		BAve	action / abstract (bhāve)	ac	ac	Agent — the doer	kṛt affix 'ac' -> -a; agent / action -a | anubandha: cit: final acute accent, antodatta (6.1.163)	c = it ; → -a	Apte-SH(affix_map.tsv)	i#} <ls>Bg. 3. 16.</ls> {#--GaM#} [{#aG BAve ac#}] {
236	agha	aGa	ruda	ruda	local		apAdAne	source (apādāne)	kvip	kvip	Bare root / zero affix	kṛt affix 'kvip' -> -∅; zero affix -> root used directly as a noun | anubandha: k,v,i,p all it -> the whole affix elides (6.1.67)		WIL	diti#} {#svakarmAkzamatayA yasmAt, ruda-apAdAne kvip#}] {
236	agha	aGa	śaṃs	SaMs	local		BAve	action / abstract (bhāve)	ac	ac	Agent — the doer	kṛt affix 'ac' -> -a; agent / action -a | anubandha: cit: final acute accent, antodatta (6.1.163)	c = it ; → -a	Apte-SH(affix_map.tsv)	?). {#--SaMsaH#} [{#aGasya SaMsaH; SaMs BAve ac#}] {
