dict,derivations,local,headword_root,nearest_root,dhatupatha_join,oracle_join,llm_pass,empty,pct_with_root,pct_strict
SKD,2213,1959,0,5,25,75,0,149,93.3,93.0
VCP,3664,2263,0,532,28,706,39,96,97.4,82.9
Apte,332,277,0,16,1,10,0,28,91.6,86.7
AP,339,289,0,19,1,16,0,14,95.9,90.3
SHS,258,40,0,10,2,131,65,10,96.1,92.2
KRM,305,112,193,0,0,0,0,0,100.0,100.0
