root,derivatives
kṛ,845
bhū,324
i,161
gam,146
hṛ,142
dhā,135
yā,117
vṛt,104
sthā,103
dā,95
sṛ,90
han,82
vṛ,81
as,80
car,77
jñā,70
vas,69
kram,67
grah,67
vad,63
