dict_a,dict_b,shared_headwords,affix_agrees,pct,ci95_low,ci95_high
WIL,SKD,24,16,66.7,46.7,82.0
WIL,VCP,1149,921,80.2,77.8,82.4
WIL,Apte,63,45,71.4,59.3,81.1
WIL,AP,60,43,71.7,59.2,81.5
WIL,SHS,146,114,78.1,70.7,84.0
WIL,KRM,26,10,38.5,22.4,57.5
SKD,VCP,65,61,93.8,85.2,97.6
SKD,Apte,84,77,91.7,83.8,95.9
SKD,AP,61,56,91.8,82.2,96.4
SKD,SHS,5,5,100.0,56.6,100.0
VCP,Apte,93,90,96.8,90.9,98.9
VCP,AP,97,94,96.9,91.3,98.9
VCP,SHS,206,203,98.5,95.8,99.5
VCP,KRM,15,3,20.0,7.0,45.2
Apte,AP,178,178,100.0,97.9,100.0
Apte,SHS,27,26,96.3,81.7,99.3
AP,SHS,31,31,100.0,89.0,100.0
