dict_a,dict_b,shared_headwords,karaka_agrees,pct,ci95_low,ci95_high
SKD,VCP,65,58,89.2,79.4,94.7
SKD,Apte,84,77,91.7,83.8,95.9
SKD,AP,61,57,93.4,84.3,97.4
SKD,SHS,5,5,100.0,56.6,100.0
VCP,Apte,93,87,93.5,86.6,97.0
VCP,AP,97,90,92.8,85.8,96.5
VCP,SHS,206,201,97.6,94.4,99.0
VCP,KRM,15,4,26.7,10.9,52.0
Apte,AP,178,178,100.0,97.9,100.0
Apte,SHS,27,24,88.9,71.9,96.1
AP,SHS,31,28,90.3,75.1,96.7
