form_slp1	form_iast	root_slp1	root_iast	support	sources
A	ā	kram	kram	1	mw
ABA	ābhā	BA	bhā	2	mw,pwg
ABARaka	ābhāṇaka	BaR	bhaṇ	1	pwg
ABAlyaH	ābhālyaḥ	Bala	bhala	1	krm-body
ABAs	ābhās	BAs	bhās	3	mw,pwg
ABAsa	ābhāsa	BAsa	bhāsa	1	vcp
ABAsana	ābhāsana	BAs	bhās	1	pwg
ABAsura	ābhāsura	BAs	bhās	1	pwg
ABAz	ābhāṣ	BAz	bhāṣ	1	mw
ABAza	ābhāṣa	BAz	bhāṣ	1	pwg
ABAzaRe	ābhāṣaṇe	bukka	bukka	1	krm-body
ABIkzRyaM	ābhīkṣṇyaṃ	iza	iṣa	1	krm-body
ABIkzRyam	ābhīkṣṇyam	pA	pā	1	krm-body
ABIkzRye	ābhīkṣṇye	uca	uca	1	krm-body
ABIla	ābhīla	BI	bhī	1	pwg
ABU	ābhū	BU	bhū	2	mw,pwg
ABUti	ābhūti	BU	bhū	1	pwg
ABUz	ābhūṣ	BUz	bhūṣ	1	mw
ABUzeRya	ābhūṣeṇya	BUz	bhūṣ	1	pwg
ABaH	ābhaḥ	BA	bhā	1	krm-body
ABaRqana	ābhaṇḍana	Bal	bhal	1	pw
ABaRqanam	ābhaṇḍanam	Bala	bhala	1	krm-body
ABaga	ābhaga	Baj	bhaj	1	pwg
ABaj	ābhaj	Baj	bhaj	1	mw
ABara	ābhara	Bf	bhṛ	1	mw
ABaraRaviSezaH	ābharaṇaviśeṣaḥ	vala	vala	1	krm-body
ABayin	ābhayin	BI	bhī	1	pwg
ABf	ābhṛ	Bf	bhṛ	1	mw
ABid	ābhid	Bid	bhid	1	mw
ABimuKya	ābhimukhya	aBi	abhi	1	pw
ABogaya	ābhogaya	A	ā	1	pwg
ABojin	ābhojin	Buj	bhuj	1	pwg
ABrya	ābhrya	aBra	abhra	1	pwg
ABugna	ābhugna	karmma	karmma	1	vcp
ABuj	ābhuj	Buj	bhuj	1	mw
ADA	ādhā	DA	dhā	1	mw
ADAra	ādhāra	Df	dhṛ	1	mw
ADAraH	ādhāraḥ	nAd	nād	1	skd
ADAre	ādhāre	hu	hu	1	krm-body
ADAtar	ādhātar	DA	dhā	1	pwg
ADAv	ādhāv	DAv	dhāv	1	mw
ADAva	ādhāva	DU	dhū	1	pwg
ADAyin	ādhāyin	DA	dhā	1	pwg
ADI	ādhī	DI	dhī	2	mw
ADIkf	ādhīkṛ	kf	kṛ	1	mw
ADIta	ādhīta	DI	dhī	2	mw,pwg
ADamana	ādhamana	DA	dhā	1	mw
ADamarRyavyavahAre	ādhamarṇyavyavahāre	f	ṛ	1	krm-body
ADara	ādhara	Df	dhṛ	1	mw
ADarzaRa	ādharṣaṇa	Dfza	dhṛṣa	1	vcp
ADarzya	ādharṣya	fza	ṛṣa	1	vcp
ADenava	ādhenava	a	a	1	pwg
ADeyasyADArAd	ādheyasyādhārād	mA	mā	1	krm-body
ADf	ādhṛ	Df	dhṛ	1	mw
ADfz	ādhṛṣ	Dfz	dhṛṣ	1	mw
ADfzAd	ādhṛṣād	prIY	prīñ	1	krm-body
ADfzI	ādhṛṣī	BU	bhū	1	krm-body
ADfzIyO	ādhṛṣīyau	graTa	gratha	1	krm-body
ADfzIya	ādhṛṣīya	Siza	śiṣa	1	krm-body
ADfzIyacarpayativat	ādhṛṣīyacarpayativat	zaha	ṣaha	1	krm-body
ADfzIyagranTayativat	ādhṛṣīyagranthayativat	SranTa	śrantha	1	krm-body
ADfzIyatvAd	ādhṛṣīyatvād	vaca	vaca	1	krm-body
ADfzIyatveneqvikalpa	ādhṛṣīyatveneḍvikalpa	mfjU	mṛjū	1	krm-body
ADfzIyezu	ādhṛṣīyeṣu	BU	bhū	1	krm-body
ADfzwi	ādhṛṣṭi	Dfza	dhṛṣa	1	vcp
ADiBOtika	ādhibhautika	aDi	adhi	1	pwg
ADibanDa	ādhibandha	DyE	dhyai	1	mw
ADidEvika	ādhidaivika	aDi	adhi	1	pwg
ADimlAna	ādhimlāna	DA	dhā	1	mw
ADita	ādhita	pi	pi	1	krm-body
ADitaH	ādhitaḥ	Di	dhi	1	krm-body
ADmA	ādhmā	DmA	dhmā	2	krm-body,mw
ADmAna	ādhmāna	DmA	dhmā	1	pwg,vcp
