form_slp1	form_iast	root_slp1	root_iast	support	sources
ADmApya	ādhmāpya	DmA	dhmā	1	krm-body
ADmAya	ādhmāya	DmA	dhmā	1	krm-body
ADoraRaH	ādhoraṇaḥ	Dorf	dhorṛ	2	krm-body,skd
ADrAyi	ādhrāyi	vA	vā	1	krm-body
ADra	ādhra	DrE	dhrai	1	mw
ADu	ādhu	Du	dhu	1	mw
ADvaMs	ādhvaṃs	DvaMs	dhvaṃs	1	mw
ADvasta	ādhvasta	DvaMs	dhvaṃs	1	mw
ADyA	ādhyā	DyE	dhyai	2	mw,vcp
ADyAna	ādhyāna	DyE	dhyai	1	mw
ADyAne	ādhyāne	smf	smṛ	1	krm-body
ADyAya	ādhyāya	DyE	dhyai	1	krm-body
ADyAyantyenamiti	ādhyāyantyenamiti	DyE	dhyai	1	krm-body
ADyE	ādhyai	DyE	dhyai	1	mw
AGAra	āghāra	Gf	ghṛ	2	mw,vcp
AGAta	āghāta	han	han	2	mw,pwg
AGAtana	āghātana	han	han	1	pwg,vcp
AGAwa	āghāṭa	Gaw	ghaṭ	1	mw,pwg
AGarza	āgharṣa	za	ṣa	1	vcp
AGf	āghṛ	Gf	ghṛ	1	mw
AGnIya	āghnīya	han	han	1	mw
AGoza	āghoṣa	Guz	ghuṣ	2	mw,pwg
AGrA	āghrā	GrA	ghrā	2	krm-body,mw
AGrARa	āghrāṇa	GrA	ghrā	1	pwg,vcp
AGrAta	āghrāta	GrA	ghrā	1	pwg
AGreyaH	āghreyaḥ	GrA	ghrā	1	krm-body
AGuz	āghuṣ	Guz	ghuṣ	1	mw
AIkz	āīkṣ	Ikz	īkṣ	1	mw
AIr	āīr	Ir	īr	1	mw
AIz	āīṣ	Iz	īṣ	1	mw
AKA	ākhā	Kan	khan	1	pwg
AKAd	ākhād	KAd	khād	1	mw
AKAdayaH	ākhādayaḥ	Kanu	khanu	1	krm-body
AKAna	ākhāna	Kan	khan	1	pwg
AKAnaH	ākhānaḥ	Kanu	khanu	1	krm-body
AKa	ākha	Kan	khan	1	pwg
AKana	ākhana	Kan	khan	1	pwg
AKanikabaka	ākhanikabaka	Kan	khan	1	pwg
AKewakaH	ākheṭakaḥ	mfga	mṛga	1	krm-body
AKewakam	ākheṭakam	Kiwa	khiṭa	1	krm-body
AKid	ākhid	Kid	khid	1	mw
AKuH	ākhuḥ	Kanu	khanu	2	krm-body
AKuvizahA	ākhuviṣahā	han	han	1	pwg
AKyA	ākhyā	KyA	khyā	3	krm-body,mw,pwg
AKyAna	ākhyāna	KyA	khyā	1	vcp
AKyApana	ākhyāpana	KyA	khyā	1	pwg
AKyApya	ākhyāpya	KyA	khyā	1	krm-body
AKyAta	ākhyāta	KyA	khyā	2	pwg,vcp
AKyAtacandrikA	ākhyātacandrikā	kzi	kṣi	1	krm-body
AKyAtar	ākhyātar	KyA	khyā	1	pwg
AKyAya	ākhyāya	KyA	khyā	1	krm-body
AKyAyakeByaH	ākhyāyakebhyaḥ	cakziN	cakṣiṅ	1	krm-body
AKyAyako	ākhyāyako	cakziN	cakṣiṅ	1	krm-body
AKyAyikA	ākhyāyikā	KyA	khyā	1	pwg
AKyas	ākhyas	KyA	khyā	2	mw,pwg
AMSa	āṃśa	aMSa	aṃśa	2	pw,pwg
AMSya	āṃśya	aMSa	aṃśa	2	pw,pwg
AMdolanaM	āṃdolanaṃ	AMdol	āṃdol	1	apte
AN	āṅ	A	ā	1	pw
ANgAra	āṅgāra	aNgAra	aṅgāra	1	pwg
ANgAraka	āṅgāraka	aNgAra	aṅgāra	1	pwg
ANgArika	āṅgārika	aNgAra	aṅgāra	1	pwg
ANga	āṅga	aNga	aṅga	2	pwg
ANgaka	āṅgaka	aNga	aṅga	1	pwg
ANgasya	āṅgasya	klidU	klidū	1	krm-body
ANgika	āṅgika	aNga	aṅga	1	pwg
ANgya	āṅgya	aNga	aṅga	1	pwg
ANpUrvAdanDUDasoriti	āṅpūrvādandhūdhasoriti	pyAyI	pyāyī	1	krm-body
ANpUrvAdanjeH	āṅpūrvādanjeḥ	anjU	anjū	1	krm-body
ANpUrvAdasmARRyati	āṅpūrvādasmāṇṇyati	RIN	ṇīṅ	1	krm-body
ANpUrvAt	āṅpūrvāt	lapa	lapa	1	krm-body
ANpUrvaH	āṅpūrvaḥ	SAsu	śāsu	1	krm-body
ANpUrvasya	āṅpūrvasya	svana	svana	1	krm-body
ANsamupasfzwAd	āṅsamupasṛṣṭād	sru	sru	1	krm-body
ANupasfzwAdasmAdDAtoH	āṅupasṛṣṭādasmāddhātoḥ	pyAyI	pyāyī	1	krm-body
ANupasfzwasyAsyArTo	āṅupasṛṣṭasyāsyārtho	tancu	tancu	1	krm-body
ANupasfzwe	āṅupasṛṣṭe	camu	camu	1	krm-body
ANyupapade	āṅyupapade	vasa	vasa	1	krm-body
APaR	āphaṇ	PaR	phaṇ	1	mw
AQiH	āḍhiḥ	aha	aha	1	krm-body
AQyaH	āḍhyaḥ	DyE	dhyai	2	krm-body
AQyamBAvukaH	āḍhyambhāvukaḥ	BU	bhū	1	krm-body
AQyamBavizRuH	āḍhyambhaviṣṇuḥ	BU	bhū	1	krm-body
AQyamBavizRuryaSasA	āḍhyambhaviṣṇuryaśasā	BU	bhū	1	krm-body
AQyasuBagasTUlapalitanagnAnDapriyapadezUpapadezu	āḍhyasubhagasthūlapalitanagnāndhapriyapadeṣūpapadeṣu	BU	bhū	1	krm-body
ARaH	āṇaḥ	aRa	aṇa	5	krm-body
ARakapratyayaH	āṇakapratyayaḥ	lUY	lūñ	1	krm-body
ARako	āṇako	lUY	lūñ	1	krm-body
ARam	āṇam	aRa	aṇa	4	krm-body
ARanA	āṇanā	aRa	aṇa	2	krm-body
ARanIyam	āṇanīyam	aRa	aṇa	2	krm-body
ARanam	āṇanam	aRa	aṇa	2	krm-body
ARayamAnaH	āṇayamānaḥ	aRa	aṇa	2	krm-body
ARayitavyam	āṇayitavyam	aRa	aṇa	2	krm-body
ARayitum	āṇayitum	aRa	aṇa	2	krm-body
ARayitvA	āṇayitvā	aRa	aṇa	4	krm-body
ARayizyamARaH	āṇayiṣyamāṇaḥ	aRa	aṇa	2	krm-body
ARiRayizA	āṇiṇayiṣā	aRa	aṇa	2	krm-body
ARiRayizuH	āṇiṇayiṣuḥ	aRa	aṇa	2	krm-body
ARitaH	āṇitaḥ	aRa	aṇa	1	krm-body
ARwiH	āṇṭiḥ	aRa	aṇa	1	krm-body
ARyam	āṇyam	aRa	aṇa	4	krm-body
ARyamAnaH	āṇyamānaḥ	aRa	aṇa	2	krm-body
AS	āś	aS	aś	1	mw
ASAs	āśās	SAs	śās	1	mw
ASAsA	āśāsā	SAsu	śāsu	1	krm-body
ASAsaH	āśāsaḥ	SAsu	śāsu	1	krm-body
ASAsanaH	āśāsanaḥ	SAsu	śāsu	1	krm-body
ASAsanam	āśāsanam	nATf	nāthṛ	1	krm-body
ASAsitaH	āśāsitaḥ	SAsu	śāsu	1	krm-body
ASAsitvA	āśāsitvā	SAsu	śāsu	1	krm-body
ASAstaH	āśāstaḥ	SAsu	śāsu	1	krm-body
ASAstavAn	āśāstavān	SAsu	śāsu	1	krm-body
ASAstiH	āśāstiḥ	SAsu	śāsu	1	krm-body
ASAstvA	āśāstvā	SAsu	śāsu	1	krm-body
ASAsyam	āśāsyam	SAsu	śāsu	2	krm-body
ASAviSaNkayoH	āśāviśaṅkayoḥ	BrURa	bhrūṇa	1	krm-body
ASI	āśī	SI	śī	1	mw
ASIH	āśīḥ	SAsu	śāsu	3	krm-body
ASIrASA	āśīrāśā	SAsu	śāsu	1	krm-body
ASIraTa	āśīratha	nATf	nāthṛ	1	krm-body
ASIrarTe	āśīrarthe	Baja	bhaja	1	krm-body
ASOca	āśauca	a	a	1	pwg
ASa	āśa	aS	aś	2	pwg
ASaMs	āśaṃs	SaMs	śaṃs	1	mw
ASaMsA	āśaṃsā	SaMsu	śaṃsu	1	krm-body
ASaMsAyAm	āśaṃsāyām	BrURa	bhrūṇa	1	krm-body
ASaMsana	āśaṃsana	SaMs	śaṃs	1	pwg
ASaMsavo	āśaṃsavo	ciY	ciñ	1	krm-body
ASaMse	āśaṃse	SaMsu	śaṃsu	1	krm-body
ASaMsita	āśaṃsita	Sansa	śansa	1	vcp
ASaMsitam	āśaṃsitam	Sasi	śasi	1	krm-body
ASaNkAyAmupasaMKyAnam	āśaṅkāyāmupasaṃkhyānam	patx	patḷ	1	krm-body
ASaNkamAnaH	āśaṅkamānaḥ	Saki	śaki	1	krm-body
ASaNkita	āśaṅkita	Saki	śaki	1	vcp
ASad	āśad	Sad	śad	1	mw
ASaka	āśaka	aS	aś	1	pwg
ASarIram	āśarīram	A	ā	1	pwg
ASaraH	āśaraḥ	SF	śṝ	2	krm-body
ASasana	āśasana	Sas	śas	1	pwg
ASasya	āśasya	Sasi	śasi	2	krm-body
ASaya	āśaya	SI	śī	2	mw,pwg,vcp
ASayaBedo	āśayabhedo	Kanu	khanu	1	krm-body
ASayamAnaH	āśayamānaḥ	aSU	aśū	1	krm-body
ASayamedo	āśayamedo	Gasx	ghasḷ	1	krm-body
ASayitavyam	āśayitavyam	aSU	aśū	2	krm-body
ASayitum	āśayitum	aSU	aśū	2	krm-body
ASayizyamARaH	āśayiṣyamāṇaḥ	aSU	aśū	2	krm-body
AScarya	āścarya	car	car	1	mw
AScaryam	āścaryam	cara	cara	1	krm-body
AScaryamanitye	āścaryamanitye	cara	cara	1	krm-body
AScyotana	āścyotana	Scyut	ścyut	1	pwg
ASfRAtIti	āśṛṇātīti	SF	śṝ	1	krm-body
ASfRvan	āśṛṇvan	Sru	śru	1	krm-body
ASiSayizuH	āśiśayiṣuḥ	aSU	aśū	1	krm-body
ASikzA	āśikṣā	Sikz	śikṣ	1	mw,pwg
ASin	āśin	aS	aś	1	pwg
ASina	āśina	aS	aś	1	pwg
ASir	āśir	SrI	śrī	1	mw
ASira	āśira	aS	aś	1	pwg
ASis	āśis	SAs	śās	2	mw,pwg
ASitaBavanaH	āśitabhavanaḥ	BU	bhū	1	krm-body
ASitaBavanam	āśitabhavanam	BU	bhū	1	krm-body
ASitamBavaH	āśitambhavaḥ	BU	bhū	2	krm-body
ASitasya	āśitasya	BU	bhū	1	krm-body
ASite	āśite	BU	bhū	1	krm-body
ASito	āśito	BU	bhū	1	krm-body
ASizA	āśiṣā	SAsu	śāsu	1	krm-body
ASleza	āśleṣa	Sliz	śliṣ	1	pwg
ASliz	āśliṣ	Sliz	śliṣ	1	mw
ASlizwaH	āśliṣṭaḥ	Sliza	śliṣa	1	krm-body
ASrAvaRa	āśrāvaṇa	Sru	śru	1	pwg
ASrAvya	āśrāvya	Sru	śru	1	pwg
ASrI	āśrī	SrI	śrī	1	mw
ASraNkya	āśraṅkya	Sraki	śraki	1	krm-body
ASrama	āśrama	Sram	śram	1	pwg
ASrapaRa	āśrapaṇa	SrI	śrī	1	pwg
ASrava	āśrava	Sru	śru	2	mw,pwg
ASravaRe	āśravaṇe	sUd	sūd	1	krm-body
ASrayATIM	āśrayāthīṃ	kF	kṝ	1	krm-body
ASraya	āśraya	Sri	śri	3	mw,pwg,vcp
ASrayaRIya	āśrayaṇīya	Sri	śri	1	vcp
ASrayaRa	āśrayaṇa	Sri	śri	1	vcp
ASrayaRam	āśrayaṇam	stanBu	stanbhu	1	krm-body
ASrayin	āśrayin	Sri	śri	1	pwg
ASreza	āśreṣa	Sriz	śriṣ	1	pwg
ASri	āśri	Sri	śri	1	mw
ASritakramarUpatvAdaBiDAnaM	āśritakramarūpatvādabhidhānaṃ	Svidi	śvidi	1	krm-body
ASrityAtra	āśrityātra	Suca	śuca	1	krm-body
ASru	āśru	Sru	śru	1	mw
ASrusaMSru	āśrusaṃśru	sru	sru	1	krm-body
ASrut	āśrut	Sru	śru	3	pwg,vcp
ASruti	āśruti	Sru	śru	1	pwg
ASuSrUzamARaH	āśuśrūṣamāṇaḥ	Sru	śru	1	krm-body
ASuSukzaRi	āśuśukṣaṇi	Suc	śuc	1	pwg
ASuc	āśuc	Suc	śuc	1	mw
ASugamane	āśugamane	Sala	śala	2	krm-body
ASugatO	āśugatau	Svala	śvala	1	krm-body
ASuheman	āśuheman	hi	hi	1	pwg
ASukAryakArI	āśukāryakārī	pfRa	pṛṇa	1	krm-body
ASutejasI	āśutejasī	varca	varca	1	krm-body
ASuz	āśuṣ	Suz	śuṣ	1	mw
ASvAsyAkzaH	āśvāsyākṣaḥ	Brasja	bhrasja	1	krm-body
ASvasitaH	āśvasitaḥ	Svasa	śvasa	1	krm-body
ASvasta	āśvasta	uza	uṣa	1	krm-body
ASyE	āśyai	SyE	śyai	1	mw
AUrRu	āūrṇu	UrRu	ūrṇu	1	mw
AYCA	āñchā	ACi	āchi	1	krm-body
AYCaH	āñchaḥ	ACi	āchi	4	krm-body
AYCam	āñcham	ACi	āchi	2	krm-body
AYCanA	āñchanā	ACi	āchi	1	krm-body
AYCanIyam	āñchanīyam	ACi	āchi	2	krm-body
AYCanam	āñchanam	ACi	āchi	2	krm-body
AYCayamAnaH	āñchayamānaḥ	ACi	āchi	1	krm-body
AYCayitavyam	āñchayitavyam	ACi	āchi	1	krm-body
AYCayitum	āñchayitum	ACi	āchi	1	krm-body
AYCayitvA	āñchayitvā	ACi	āchi	2	krm-body
AYCayizyamARaH	āñchayiṣyamāṇaḥ	ACi	āchi	1	krm-body
AYCicCayizuH	āñchicchayiṣuḥ	ACi	āchi	1	krm-body
AYCicCizitvA	āñchicchiṣitvā	ACi	āchi	1	krm-body
AYCitA	āñchitā	ACi	āchi	1	krm-body
AYCitaH	āñchitaḥ	ACi	āchi	1	krm-body
AYCitam	āñchitam	ACi	āchi	1	krm-body
AYCitavyam	āñchitavyam	ACi	āchi	1	krm-body
AYCitum	āñchitum	ACi	āchi	1	krm-body
AYCitvA	āñchitvā	ACi	āchi	2	krm-body
AYCyam	āñchyam	ACi	āchi	2	krm-body
AYCyamAnaH	āñchyamānaḥ	ACi	āchi	2	krm-body
AYcicCayizA	āñcicchayiṣā	ACi	āchi	1	krm-body
AYcicCizA	āñcicchiṣā	ACi	āchi	1	krm-body
AYcicCizaH	āñcicchiṣaḥ	ACi	āchi	1	krm-body
AYcicCizaRIyam	āñcicchiṣaṇīyam	ACi	āchi	1	krm-body
AYcicCizaRam	āñcicchiṣaṇam	ACi	āchi	1	krm-body
AYcicCizakaH	āñcicchiṣakaḥ	ACi	āchi	1	krm-body
AYcicCizam	āñcicchiṣam	ACi	āchi	1	krm-body
AYcicCizitavyam	āñcicchiṣitavyam	ACi	āchi	1	krm-body
AYcicCizitum	āñcicchiṣitum	ACi	āchi	1	krm-body
AYcicCizitvA	āñcicchiṣitvā	ACi	āchi	1	krm-body
AYcicCizuH	āñcicchiṣuḥ	ACi	āchi	1	krm-body
AYcicCizyam	āñcicchiṣyam	ACi	āchi	1	krm-body
AYcicCizyamARaH	āñcicchiṣyamāṇaḥ	ACi	āchi	1	krm-body
AbAD	ābādh	bAD	bādh	1	mw
AbADa	ābādha	bAD	bādh	1	pwg
AbAdayaH	ābādayaḥ	dIpI	dīpī	1	krm-body
AbAdiByo	ābādibhyo	Dvansu	dhvansu	1	krm-body
AbAlam	ābālam	A	ā	1	pwg
AbAlyam	ābālyam	A	ā	1	pwg
AbaD	ābadh	baD	badh	1	mw
AbadDaBImaBrukuwiviBaNgaH	ābaddhabhīmabhrukuṭivibhaṅgaḥ	Svi	śvi	1	krm-body
AbanD	ābandh	banD	bandh	1	mw
AbanDa	ābandha	banDa	bandha	1	vcp
Abarha	ābarha	barh	barh	1	mw,pwg
Abayu	ābayu	av	av	1	pwg
Abdam	ābdam	A	ā	1	pwg
Abilam	ābilam	A	ā	1	pwg
AbrU	ābrū	brU	brū	1	mw
AbuD	ābudh	buD	budh	1	mw
Ac	āc	ac	ac	1	mw
AcAmI	ācāmī	camu	camu	1	krm-body
AcAmam	ācāmam	camu	camu	1	krm-body
AcAmyaM	ācāmyaṃ	camu	camu	1	krm-body
AcAmyam	ācāmyam	camu	camu	1	krm-body
AcAnta	ācānta	cam	cam	1	mw
AcAntam	ācāntam	camu	camu	1	krm-body
AcAra	ācāra	car	car	2	mw,pwg
AcAraSca	ācāraśca	yA	yā	1	krm-body
AcAracakrin	ācāracakrin	AcAra	ācāra	1	pwg
AcAranipuRaH	ācāranipuṇaḥ	puRa	puṇa	1	krm-body
AcAravant	ācāravant	AcAra	ācāra	1	pwg
AcArika	ācārika	AcAra	ācāra	1	pwg
AcAryA	ācāryā	cara	cara	2	krm-body
AcAryAdaRatvaM	ācāryādaṇatvaṃ	cara	cara	1	krm-body
AcAryAnI	ācāryānī	cara	cara	2	krm-body
AcAryIkf	ācāryīkṛ	kf	kṛ	1	mw
AcArya	ācārya	car	car	1	pwg
AcAryacaraREH	ācāryacaraṇaiḥ	vaha	vaha	1	krm-body
AcAryakaraRam	ācāryakaraṇam	RIN	ṇīṅ	1	krm-body
AcAryakriyA	ācāryakriyā	RIN	ṇīṅ	1	krm-body
AcAryapravfttirjYApayati	ācāryapravṛttirjñāpayati	bundir	bundir	1	krm-body
AcAryasya	ācāryasya	cara	cara	1	krm-body
AcAryeRa	ācāryeṇa	zWivu	ṣṭhivu	1	krm-body
AcCAda	ācchāda	Cad	chad	1	pwg
AcCAdanAdanyatra	ācchādanādanyatra	vfY	vṛñ	1	krm-body
AcCAdayati	ācchādayati	vasa	vasa	1	krm-body
AcCad	ācchad	Cad	chad	2	mw,pwg
AcCettar	ācchettar	Cid	chid	1	pwg
AcCid	ācchid	Cid	chid	1	mw
AcCo	āccho	Co	cho	1	mw
AcCurita	ācchurita	Cur	chur	1	pwg
AcCuritakaM	ācchuritakaṃ	Cura	chura	1	skd
AcIrRa	ācīrṇa	car	car	1	mw
AcUzaRa	ācūṣaṇa	cUz	cūṣ	1	pwg,vcp
AcaScamya	ācaścamya	camu	camu	1	krm-body
AcakzARaH	ācakṣāṇaḥ	cakziN	cakṣiṅ	1	krm-body
Acakzate	ācakṣate	mila	mila	1	krm-body
Acal	ācal	cal	cal	1	mw
Acam	ācam	cam	cam	1	mw
Acamanam	ācamanam	camu	camu	1	krm-body
Acamya	ācamya	camu	camu	1	krm-body
AcaparAca	ācaparāca	A	ā	1	pwg
Acar	ācar	car	car	1	mw
AcaraRa	ācaraṇa	car	car	1	pwg,vcp
AcaraRya	ācaraṇya	caraRya	caraṇya	1	mw
Acarita	ācarita	cara	cara	1	vcp
Acarya	ācarya	cara	cara	1	krm-body
AcaryaH	ācaryaḥ	cara	cara	2	krm-body
Acaturam	ācaturam	A	ā	1	pwg
Acaya	ācaya	ci	ci	1	pwg
Acazwe	ācaṣṭe	liKa	likha	1	krm-body
Acezw	āceṣṭ	cezw	ceṣṭ	1	mw
Acft	ācṛt	cft	cṛt	1	mw
Aci	āci	ci	ci	1	mw
AciKyAsA	ācikhyāsā	KyA	khyā	2	mw,pwg
AciKyAsuH	ācikhyāsuḥ	KyA	khyā	1	krm-body
Acicamizya	ācicamiṣya	camu	camu	1	krm-body
AcikrandayizA	ācikrandayiṣā	kranda	kranda	1	krm-body
AcikrandayizaH	ācikrandayiṣaḥ	kranda	kranda	1	krm-body
AcikrandayizaRIyam	ācikrandayiṣaṇīyam	kranda	kranda	1	krm-body
AcikrandayizaRam	ācikrandayiṣaṇam	kranda	kranda	1	krm-body
Acikrandayizam	ācikrandayiṣam	kranda	kranda	1	krm-body
AcikrandayizamARaH	ācikrandayiṣamāṇaḥ	kranda	kranda	1	krm-body
Acikrandayizitavyam	ācikrandayiṣitavyam	kranda	kranda	1	krm-body
Acikrandayizitum	ācikrandayiṣitum	kranda	kranda	1	krm-body
AcikrandayizizyamARaH	ācikrandayiṣiṣyamāṇaḥ	kranda	kranda	1	krm-body
AcikrandayizuH	ācikrandayiṣuḥ	kranda	kranda	1	krm-body
Acikrandayizyam	ācikrandayiṣyam	kranda	kranda	1	krm-body
AcikrandayizyamARaH	ācikrandayiṣyamāṇaḥ	kranda	kranda	1	krm-body
Acit	ācit	cit	cit	2	mw,pwg
Acita	ācita	ci	ci	1	pwg
Acyu	ācyu	cyu	cyu	1	mw
AdA	ādā	dA	dā	2	mw
AdADyAyya	ādādhyāyya	DyE	dhyai	1	krm-body
AdAdikAsaDAtuvat	ādādikāsadhātuvat	SAsu	śāsu	1	krm-body
AdAdikAstivat	ādādikāstivat	Svasa	śvasa	1	krm-body
AdAdika	ādādika	ad	ad	1	pwg
AdAdikaRijiDAtuvat	ādādikaṇijidhātuvat	Siji	śiji	1	krm-body
AdAdikaSudDyarTakamfjU	ādādikaśuddhyarthakamṛjū	sfja	sṛja	1	krm-body
AdAdikabrUYDAtuvat	ādādikabrūñdhātuvat	vaca	vaca	1	krm-body
AdAdikacakAstivat	ādādikacakāstivat	SAsu	śāsu	1	krm-body
AdAdikadADAtuvat	ādādikadādhātuvat	drE	drai	1	krm-body
AdAdikadApDAtuvat	ādādikadāpdhātuvat	prA	prā	1	krm-body
AdAdikadAtivat	ādādikadātivat	drA	drā	1	krm-body
AdAdikadIDINDAtuvat	ādādikadīdhīṅdhātuvat	vevIN	vevīṅ	1	krm-body
AdAdikadvezwi	ādādikadveṣṭi	hada	hada	1	krm-body
AdAdikamAtivat	ādādikamātivat	meN	meṅ	1	krm-body
AdAdikanOtivat	ādādikanautivat	RU	ṇū	1	krm-body
AdAdikanijativat	ādādikanijativat	piji	piji	1	krm-body
AdAdikasyEveti	ādādikasyaiveti	duhir	duhir	1	krm-body
AdAdikatvAt	ādādikatvāt	KyA	khyā	1	krm-body
AdAna	ādāna	dA	dā	2	mw,pwg,vcp
AdAnaM	ādānaṃ	uCi	uchi	1	krm-body
AdAra	ādāra	df	dṛ	1	mw
AdAyABraNkazaM	ādāyābhraṅkaṣaṃ	kaza	kaṣa	1	krm-body
AdAyacara	ādāyacara	dA	dā	1	pwg
AdAyacaraH	ādāyacaraḥ	cara	cara	1	krm-body
AdAyamAna	ādāyamāna	dE	dai	1	mw
AdDvam	āddhvam	As	ās	1	pw
AdE	ādai	dE	dai	1	mw
AdF	ādṝ	dF	dṝ	1	mw
AdI	ādī	dI	dī	1	mw
AdIDi	ādīdhi	DI	dhī	1	mw
AdIDyaka	ādīdhyaka	dIDI	dīdhī	1	pwg
AdInava	ādīnava	dI	dī	1	vcp
AdInavaH	ādīnavaḥ	dINkzaye	dīṅkṣaye	1	skd
AdIp	ādīp	dIp	dīp	1	mw
AdIpaka	ādīpaka	dIp	dīp	1	pwg
AdIpana	ādīpana	dIp	dīp	1	pwg
AdIpanaM	ādīpanaṃ	dIp	dīp	1	skd
AdaB	ādabh	daB	dabh	1	mw
AdaG	ādagh	daG	dagh	1	mw
AdaH	ādaḥ	ada	ada	1	krm-body
AdaMS	ādaṃś	daMS	daṃś	1	mw
AdaMSa	ādaṃśa	daMS	daṃś	1	pwg,vcp
AdaSasya	ādaśasya	daSasya	daśasya	1	mw
Adah	ādah	dah	dah	1	mw
Adam	ādam	ada	ada	2	krm-body,mw
AdanA	ādanā	ada	ada	1	krm-body
AdanIyam	ādanīyam	ada	ada	1	krm-body
Adanam	ādanam	ada	ada	1	krm-body
AdantalakzaRa	ādantalakṣaṇa	zo	ṣo	1	krm-body
AdantalakzaRaRa	ādantalakṣaṇaṇa	jYA	jñā	1	krm-body
AdantalakzaRapugAgamasya	ādantalakṣaṇapugāgamasya	pA	pā	1	krm-body
