dict,affix_instances,in_canonical_vocab,pct_canonical
WIL,19641,9844,50.1
SKD,2055,2055,100.0
VCP,3166,3166,100.0
Apte,325,325,100.0
AP,333,333,100.0
SHS,251,251,100.0
KRM,290,290,100.0
