mw_L	e	k1_slp1	root_iast	verb_type	classes	whitney_anchor	westergaard
60516	1	kzow	kṣoṭ	root	10P		1
60596	1	kzRu	kṣṇu	genuineroot	2P	kzRu,31	1
60625	1	kzmAy	kṣmāy	root	1Ā,1P		
60629	1	kzmIl	kṣmīl	root	1P		1
60633	1	kzviq	kṣviḍ	root	1P	kzviq,31	
60652	1	kzviq	kṣviḍ	root	1Ā,4P		1
60655	1	kzvid	kṣvid	root	0		
60659	1	kzvel	kṣvel	genuineroot	1P	kzvel,31	1
60850	1	KakK	khakkh	root	0		1
60863	1	Kac	khac	genuineroot	1P,9P,10P	Kac,31	1
60867	1	Kaj	khaj	root	1P		1
60884	1	KaYj	khañj	genuineroot	1P	KaYj,31	
60912	1	Kaw	khaṭ	root	1P		
60942	1	KawaKawAya	khaṭakhaṭāya	root	0Ā		
60947	1	Kaww	khaṭṭ	root	10P		1
60982	1	Kaq	khaḍ	root	10P		1
61069	1	KaRaKaRAya	khaṇakhaṇāya	root	0Ā		
61072	1	KaRq	khaṇḍ	genuineroot	1Ā,10P		1
61228	1	Kad	khad	root	6P	Kad,31	1
61265	1	Kan	khan	genuineroot	1P,1Ā	Kan,32	
61339	1	Kamb	khamb	root	1P		1
61509	1	Karj	kharj	genuineroot	1P	Karj,32	1
61544	1	Kard	khard	root	1P		1
61559	1	Karb	kharb	root	1P		1
61565	1	Karv	kharv	root	1P		1
61581	1	Kal	khal	root	1P		1
61640	1	KalaKalAya	khalakhalāya	root	0Ā		
61663	1	Kall	khall	genuineroot	1Ā	Kall,32	
61690	1	Kav	khav	root	9P		1
61698	1	Kaz	khaṣ	root	1P		1
61789	1	KAd	khād	genuineroot	1P,1Ā	KAd,32	
61901	1	Kiw	khiṭ	root	1P		1
61905	1	Kid	khid	genuineroot	6,7Ā,4Ā,4P	Kid,32	
61963	1	Ku	khu	root	1Ā		1
61966	1	Kuj	khuj	root	1		
61968	1	Kuq	khuḍ	root			
61976	1	KuRq	khuṇḍ	root	1Ā,10P		1
61977	1	Kud	khud	genuineroot	6P	Kud,33	
61981	1	Kur	khur	root	6P		1
62011	1	Kurd	khurd	root	1Ā		1
62018	1	KUrd	khūrd	root	0		
62022	1	Kew	kheṭ	root	10		1
62044	1	Keq	kheḍ	root	0		
62053	1	Kel	khel	root	1P	Kel,33	
62075	1	Kev	khev	root	0		1
62077	1	KE	khai	genuineroot	1P		1
62084	1	Kow	khoṭ	root	1P,10P		1
62089	1	Koq	khoḍ	root	1P,10P		1
62093	1	Kor	khor	root	1P		1
62098	1	Kol	khol	root	0		1
62110	1	KyA	khyā	root	2P,2Ā	KyA,33	1
62214	1	gagG	gaggh	root	0		1
62299	1	gaNgUya	gaṅgūya	root	0P		
62305	1	gaj	gaj	root	1P,10P		1
62459	1	gaYj	gañj	root	1P		
62478	1	gaq	gaḍ	root	1P,10P		1
62523	1	gaR	gaṇ	genuineroot	10P,10Ā		
62749	1	gaRq	gaṇḍ	root	1P		1
62868	1	gad	gad	genuineroot	1P,10P	gad,33	1
62957	1	gaD	gadh	root	4	gaD,34	
62967	1	ganD	gandh	root	10Ā		1
63409	1	gam	gam	genuineroot	1P,2P,3P,1Ā	gam,34	
63674	1	gamb	gamb	root	1P		
63862	1	garj	garj	genuineroot	1P	garj,34	
63914	1	gard	gard	genuineroot	1P,10	gard,35	
63962	1	garb	garb	root	1P		1
64168	1	garv	garv	root	1P,10Ā		
64179	1	garh	garh	genuineroot	1,10P,10Ā	garh,35	
64198	1	gal	gal	genuineroot	1P,1Ā	gal,35	1
