L_id	headword	headword_slp1	root	root_slp1	root_via	root_class	root_canonical	prefixes	affix	affix_slp1	group	anubandha	anubandha_steps	affix_source	deriv_type	parse	context
1297	agrataḥkṛ	agrataHkf	kṛ	kf	parse	2P,2Ā,1P,1Ā,5P,5Ā,8P,8Ā	Y								stem+root (denominal/cmpd)	agrataH+kf	agrataH-√ kf ¦ to place in front or at the head, to consider most important.
1430	aṅkakāra	aNkakAra	kṛ	kf	fr-root	2P,2Ā,1P,1Ā,5P,5Ā,8P,8Ā	Y								root-attribution		¦ aNkakArI-√ kf, to choose such a champion, Bālar.
1500	aṅgīkṛ	aNgIkf	aṅgī	aNgI	parse		?								other	aNgI+kf	aNgI 1. √ kf ¦ to take the side of; to agree to, assent, promise, confess.
1659	aṅgārasātkṛ	aNgArasAtkf	aṅgāra	aNgAra	parse		?								other	aNgAra+sAt+kf	aNgAra—sAt-√ kf ¦ P. -karoti, to reduce to charcoal, lay anything upon coals, ĀpŚr.
1867	acchāi	acCAi	i	i	fr-root	2P,2Ā	Y								other	acCA	a/cCA-√ i or a/cCA-√ gam or a/cCA-√ car, ¦ to attain, go towards, RV. &c.
1870	acchādru	acCAdru	dru	dru	parse	5P	Y								stem+root (denominal/cmpd)	acCA+dru	a/cCA- √ 2. dru ¦ to run near, RV. iii, 14, 3.
1871	acchādhanv	acCADanv	dhanv	Danv	parse	1P,1Ā	Y								stem+root (denominal/cmpd)	acCA+Danv	a/cCA-√ Danv ¦ to run towards, RV. iii, 53, 4.
1872	acchānakṣ	acCAnakz	nakṣ	nakz	parse	1P,1Ā	Y								stem+root (denominal/cmpd)	acCA+nakz	a/cCA-√ nakz ¦ to go towards, approach, RV. vi, 22, 5.
1873	acchānaś	acCAnaS	naś	naS	parse	1P,1Ā	Y								stem+root (denominal/cmpd)	acCA+naS	a/cCA- √ 1. naS ¦ to come near, RV.
1874	acchānī	acCAnI	nī	nI	parse	1P,1Ā	Y								stem+root (denominal/cmpd)	acCA+nI	a/cCA-√ nI ¦ to lead towards or to, RV.
1875	acchānu	acCAnu	nu	nu	parse	1Ā	Y								stem+root (denominal/cmpd)	acCA+nu	a/cCA- √ 4. nu ¦ to call out to, to cheer, RV.
1876	acchāpat	acCApat	pat	pat	parse	4Ā	Y								stem+root (denominal/cmpd)	acCA+pat	a/cCA-√ pat ¦ [ŚBr.] and Caus. P. -patayati [RV. v, 45, 9], to fly towards.
1877	acchābrū	acCAbrU	brū	brU	parse	2P,2Ā	Y								stem+root (denominal/cmpd)	acCA+brU	acCA-√ brU ¦ to invite to come near, PBr.
1878	acchāyā	acCAyA	yā	yA	fr-root	2P	Y								other	acCA	a/cCA-√ yA or a/cCa-√ yA, ¦ to approach, RV.; TS.
1880	acchāvac	acCAvac	vac	vac	parse	2P,3P,3Ā	Y								stem+root (denominal/cmpd)	acCA+vac	a/cCA-√ vac ¦ to invite, RV.
1885	acchāvañc	acCAvaYc	vañc	vaYc	parse	1P,1Ā	Y								stem+root (denominal/cmpd)	acCA+vaYc	a/cCA-√ vaYc ¦ Pass. -vacya/te, to extend itself towards, to go towards, RV. i, 142, 4.
1886	acchāvad	acCAvad	vad	vad	parse	1P,1Ā	Y								stem+root (denominal/cmpd)	acCA+vad	a/cCA-√ vad ¦ to salute, RV. &c.
1887	acchāvṛt	acCAvft	vṛt	vft	parse	1Ā	Y								stem+root (denominal/cmpd)	acCA+vft	a/cCA-√ vft ¦ (Opt. Ā. 1. sg. -vavftIya), to cause to come near, RV. i, 186, 10.
1888	acchāsṛ	acCAsf	sṛ	sf	parse	1,3P,3Ā,10P,10Ā	Y								stem+root (denominal/cmpd)	acCA+sf	a/cCA-√ sf ¦ to flow near, RV. ix, 92, 2.
1889	acchāsyand	acCAsyand	syand	syand	parse	1Ā	Y								stem+root (denominal/cmpd)	acCA+syand	a/cCA-√ syand ¦ Caus. to flow near (aor. -a/sizyadat), RV. ix, 81,2: Intens. to cause to flow near (part. nom. sg. m. -s
1927	aj	aj	vī	vI	fr-root	2P,2Ā	Y								root-attribution		aj ¦ cl. 1. P. (defect., supplemented fr. √ vI), a/jati, AjIt, ajitum, to drive, propel, throw, cast: Desid. ajijizati,
2444	aṇūbhū	aRUBU	bhū	BU	parse	1P,1Ā	Y								stem+root (denominal/cmpd)	aRU+BU	aRU—√ BU ¦ to become minute or atomic.
2742	atimokṣa	atimokza	muc	muc	fr-root	1Ā	Y								root-attribution		ati—mokza/ ¦ m.; see ati-√ muc.
2914	atikup	atikup	kup	kup	parse	4P,4Ā	Y	ati							prefix+root	ati+kup	ati-√ kup ¦ to become very angry.
2915	atikūrd	atikUrd	kūrd	kUrd	parse	1P,1Ā	Y	ati							prefix+root	ati+kUrd	ati-√ kUrd ¦ to jump about.
2917	atikṛṣ	atikfz	kṛṣ	kfz	parse	1P,1Ā,6P,6Ā	Y	ati							prefix+root	ati+kfz	ati-√ kfz ¦ to drag over or beyond.
2919	atikram	atikram	kram	kram	parse	1P,1Ā,4P,4Ā	Y	ati							prefix+root	ati+kram	ati-√ kram ¦ to step or go beyond or over or across, (Ved. Inf. ati-kra/me, to be walked on RV. i, 105, 16); to pass, cr
2938	atikṣar	atikzar	kṣar	kzar	parse	1P,1Ā,2P	Y	ati							prefix+root	ati+kzar	ati-√ kzar ¦ to overflow or flow through, RV. &c. (3. sg. aor. a/kzAr a/ti, RV. ix, 43, 5).
2939	atikṣip	atikzip	kṣip	kzip	parse	6P,6Ā,4P,4Ā	Y	ati							prefix+root	ati+kzip	ati-√ kzip ¦ to throw beyond.
2943	atikhyā	atiKyA	khyā	KyA	parse	2P,2Ā	Y	ati							prefix+root	ati+KyA	ati-√ KyA ¦ to survey, overlook (3. sg. impf. a/ty-aKyat), AV.; to neglect, pass over, abandon (2. sg. Conj. a/ti-Kyas,
2944	atigam	atigam	gam	gam	fr-root	1P,2P,3P,1Ā	Y	ati							other	ati	ati-√ gam or ati-√ gA, ¦ to pass by or over ; to surpass, overcome; to escape;  neglect; to pass away, die.
2949	atigarj	atigarj	garj	garj	parse	1P	Y	ati							prefix+root	ati+garj	ati-√ garj ¦ to speak loudly or provokingly or in a threatening voice, MBh.
2951	atigāh	atigAh	gāh	gAh	parse	1Ā,1P	Y	ati							prefix+root	ati+gAh	ati-√ gAh ¦ ‘to emerge over’, to rise upon, RV.
2953	atigur	atigur	gur	gur	parse	6,4	Y	ati							prefix+root	ati+gur	ati-√ gur ¦ (Pot. a/ti juguryA/t), to cry out, give a shriek, RV. i, 173, 2.
2955	atigrah	atigrah	grah	grah	parse	9P,9Ā	Y	ati							prefix+root	ati+grah	ati-√ grah ¦ to take beyond or over the usual measure, ŚBr.; TBr.; ŚāṅkhŚr.; to surpass, Pāṇ. v, 4, 46, Sch.
2964	aticar	aticar	car	car	parse	1Ā,1P	Y	ati							prefix+root	ati+car	ati-√ car ¦ to pass by; to overtake, surpass; to transgress, offend, be unfaithful to.
2971	aticitrīya	aticitrIya						ati							compound	ati+citrIya	ati-citrIya ¦ Nom. Ā. ˚yate, to cause great astonishment, Daś.
2972	aticṛt	aticft	cṛt	cft	parse	6,1,10	Y	ati							prefix+root	ati+cft	ati-√ cft ¦ to stick on, fasten, AV.
2973	aticeṣṭ	aticezw	ceṣṭ	cezw	parse	1	Y	ati							prefix+root	ati+cezw	ati-√ cezw ¦ to make extraordinary or excessive efforts.
2980	atiji	atiji	ji	ji	parse	1Ā,9Ā	Y	ati							prefix+root	ati+ji	ati-√ ji ¦ (aor. a/ty-ajEzIt), to conquer, AV.
2981	atijīv	atijIv	jīv	jIv	parse	1Ā	Y	ati							prefix+root	ati+jIv	ati-√ jIv ¦ to survive; to surpass in the mode of living.
2983	atitap	atitap	tap	tap	parse	4Ā	Y	ati							prefix+root	ati+tap	ati-√ tap ¦ to be very hot, AV. xviii, 2, 36, &c.; to heat, AV. xiii, 2, 40; BhP.; to affect greatly: Caus. -tApayati, t
2985	atitṛd	atitfd	tṛd	tfd	parse	7Ā	Y	ati							prefix+root	ati+tfd	ati-√ tfd ¦ to cleave, split, VS.; to pierce through, penetrate, AV.
2986	atitṛp	atitfp	tṛp	tfp	parse	4,5,6Ā,6P,1Ā	Y	ati							prefix+root	ati+tfp	ati-√ tfp ¦ to be satiated.
2987	atitṝ	atitF	tṝ	tF	parse	1P,1Ā,5,3,6P,6Ā	Y	ati							prefix+root	ati+tF	ati-√ tF ¦ to pass through or by or over, cross, overcome, escape: Desid. -titIrzati, to be desirous of crossing or over
2992	atitvar	atitvar	tvar	tvar	parse	1	Y	ati							prefix+root	ati+tvar	ati-√ tvar ¦ to hasten overmuch.
2996	atithīkṛ	atiTIkf	kṛ	kf	parse	2P,2Ā,1P,1Ā,5P,5Ā,8P,8Ā	Y								stem+root (denominal/cmpd)	atiTI+kf	atiTI—√ kf ¦ (P. -karoti), to grant anything (acc.) to a guest, Naiṣ.; to cause anything (acc.) to be a guest, i.e. to m
3006	atithībhū	atiTIBU	bhū	BU	parse	1P,1Ā	Y								stem+root (denominal/cmpd)	atiTI+BU	atiTI—√ BU ¦ (P. -Bavati), to become the guest of (gen.), ib.
3011	atidaṃh	atidaMh	daṃh	daMh	parse	10	Y	ati							prefix+root	ati+daMh	ati-√ daMh ¦ (only in -daMhIH, used in explaining aDi-Dak), Nir. i, 7.
3012	atidagh	atidaG	dagh	daG	parse	5,4	Y	ati							prefix+root	ati+daG	ati-√ daG ¦ to go beyond, to pass (3. sg. a/te-Dak, 2. du. a/ti-Dakzam), RV.
3014	atidah	atidah	dah	dah	parse	1P,1Ā	Y	ati							prefix+root	ati+dah	ati-√ dah ¦ to burn or blaze across, ŚBr. to burn or distress greatly.
3015	atidā	atidA	dā	dA	parse	3Ā,1Ā	Y	ati							prefix+root	ati+dA	ati-√ 1. dA ¦ to surpass in giving, RV. viii, 1, 38; to pass over in giving, KātyŚr.
3017	atidāś	atidAS	dāś	dAS	parse	1P,1Ā,2,5P	Y	ati							prefix+root	ati+dAS	ati-√ dAS ¦ to favour with a gift, present, RV.
3018	atidiv	atidiv	div	div	parse	1P,10P,10Ā	Y	ati							prefix+root	ati+div	ati-√ 2. div ¦ (ind.p. dI/vyA [= ˚vya]), to play higher, RV. x, 42, 9; to risk (in playing), MBh. ii, 2041.
3019	atidiś	atidiS	diś	diS	parse	3P,6	Y	ati							prefix+root	ati+diS	ati-√ diS ¦ to make over, transfer, assign: Pass. -diSyate, (in Gr.) to be overruled or attracted or assimilated.
3027	atidṛp	atidfp	dṛp	dfp	parse	6P	Y	ati							prefix+root	ati+dfp	ati-√ dfp ¦ to be excessively conceited.
3030	atidru	atidru	dru	dru	parse	5P	Y	ati							prefix+root	ati+dru	ati-√ dru ¦ to run by, pass hastily, RV.; AV.; to pass over, ŚBr.
3032	atidhā	atiDA	dhā	DA	parse	3P,3Ā,1P,1Ā,2P,4Ā,4P	Y	ati							prefix+root	ati+DA	ati-√ DA ¦ to put away.
3034	atidhāv	atiDAv	dhāv	DAv	parse	1P,1Ā	Y	ati							prefix+root	ati+DAv	ati-√ DAv ¦ to run or rush over.
3037	atidhyai	atiDyE	dhyai	DyE	parse	1P,2	Y	ati							prefix+root	ati+DyE	ati-√ DyE ¦ to meditate deeply, VP.
3038	atidhvaṃs	atiDvaMs	dhvaṃs	DvaMs	parse	1P,1Ā	Y	ati							prefix+root	ati+DvaMs	ati-√ DvaMs ¦ to raise the dust in running through or over (3. pl. Conj. aor. ati-Dvasa/n), RV. viii, 55, 5.
3039	atinam	atinam	nam	nam	parse	1P,1Ā	Y	ati							prefix+root	ati+nam	ati-√ nam ¦ to bend aside, keep on one side.
3042	atiniḥśvas	atiniHSvas	śvas	Svas	parse	2P	Y	ati nis							prefix+root	ati+nis+Svas	ati-niH-√ Svas ¦ to breathe or sigh violently.
3045	atiniṣṭan	atinizwan	tan	tan	parse	1,10	Y	ati nis							prefix+root	ati+nis+tan	ati-niz-wan ¦ (√ tan), (perf. Pot. 3. pl. a/ti-ni/z-watanyuH) to penetrate (with rays), RV. i, 141, 13.
3047	atinī	atinI	nī	nI	parse	1P,1Ā	Y	ati							prefix+root	ati+nI	ati-√ nI ¦ to lead over or beyond, to help a person over anything, RV. &c.; to allow to pass away: Intens. Ā. -nenIya/te
3048	atinu	atinu	nu	nu	parse	1Ā	Y	ati							prefix+root	ati+nu	ati-√ nu ¦ Caus. to turn away, TS.
3049	atinud	atinud	nud	nud	parse	6P,6Ā	Y	ati							prefix+root	ati+nud	ati-√ nud ¦ to drive by, AV.
3050	atined	atined	ned	ned	parse	1P	Y	ati							prefix+root	ati+ned	ati-√ ned ¦ to stream or flow over, foam over, TS. &c.
3054	atipaṭh	atipaW	paṭh	paW	parse	1P	Y	ati							prefix+root	ati+paW	ati-√ paW ¦ Pass. -paTyate, to be greatly proclaimed or celebrated, MBh.
3055	atipat	atipat	pat	pat	parse	4Ā	Y	ati							prefix+root	ati+pat	ati-√ pat ¦ to fall or fly by or past or beyond or over, to neglect, miss: Caus. -pAtayati, to cause to fly by, to drag
3067	atipad	atipad	pad	pad	parse	1P	Y	ati							prefix+root	ati+pad	ati-√ pad ¦ to go beyond (acc.), jump over; to neglect, transgress: Caus. -pAdayati to allow to pass by.
3074	atiparī	atiparI	i	i	parse	2P,2Ā	Y	ati pari							prefix+root	ati+pari+i	ati-parI ¦ (pari-√ i), to pass round, ĀpŚr.
3075	atipaś	atipaS	paś	paS	parse	0P,0Ā	Y	ati							prefix+root	ati+paS	ati-√ paS ¦ to look beyond, look through, RV. i, 94, 7; AV.
3076	atipā	atipA	pā	pA	parse	1P,1Ā,2Ā,2P	Y	ati							prefix+root	ati+pA	ati-√ 1. pA ¦ Caus. P. -pAyayati, to give to drink in great quantity, Kathās.
3080	atipū	atipU	pū	pU	parse	9P,9Ā,1Ā,1P	Y	ati							prefix+root	ati+pU	ati-√ pU ¦ P. to clarify or purify through (3. pl. aor. a/ti apAvizuH), RV. ix, 60, 2 : Ā. -pavate, to purify or purge b
3081	atipṛ	atipf	pṛ	pf	parse	3P,9P	Y	ati							prefix+root	ati+pf	ati-√ 1. pf ¦ to convey across, to help over, RV.; to cross, pass over, RV. i, 174, 9 and vi, 20, 12; to keep (a promise
3082	atipṝ	atipF	pṝ	pF	parse	9P,6P,3P,3Ā	Y	ati							prefix+root	ati+pF	ati-√ pF ¦ cl. 4. P. -pUryati, to become full or overflowing, MBh.
3083	atipracit	atipracit	cit	cit	parse	1,2Ā,3Ā,3P	Y	ati pra							prefix+root	ati+pra+cit	ati-pra-√ cit ¦ -cekite (= -cikite, BR.; = Intens. -cekitte, Gmn.), to be clearly distinct or distinguishable, RV. i, 55
3084	atipracyu	atipracyu	cyu	cyu	parse	10	Y	ati pra							prefix+root	ati+pra+cyu	ati-pra-√ cyu ¦ to pass by, TBr. : Caus. -cyAvayati, to cause to pass by, ŚBr.
3085	atiprach	atipraC	prach	praC	parse	6P,6Ā	Y	ati							prefix+root	ati+praC	ati-√ praC ¦ to go on asking, ŚBr. &c.
3086	atiprajval	atiprajval	jval	jval	parse	1P,1Ā	Y	ati pra							prefix+root	ati+pra+jval	ati-pra-√ jval ¦ to flame or blaze exceedingly, MBh.
3087	atipraṇaś	atipraRaS	naś	naS	parse	1P,1Ā	Y	ati pra							prefix+root	ati+pra+naS	ati-pra-RaS ¦ (√ 2. naS), to be entirely deprived of (acc.), ŚBr.
3088	atipraṇī	atipraRI	nī	nI	parse	1P,1Ā	Y	ati pra							prefix+root	ati+pra+nI	ati-pra-RI ¦ (√ nI) to lead by or beyond, Lāṭy.; ĀśvŚr.
3089	atipraṇud	atipraRud	nud	nud	parse	6P,6Ā	Y	ati pra							prefix+root	ati+pra+nud	ati-pra-Rud ¦ (√ nud) to press or incite very strongly.
3090	atiprapad	atiprapad	pad	pad	parse	1P	Y	ati pra							prefix+root	ati+pra+pad	ati-pra-√ pad ¦ Caus. -pAdayati, to help to pass into the other world (Comm.), MBh. iv, 1717.
3092	atiprayam	atiprayam	yam	yam	parse	1P,1Ā	Y	ati pra							prefix+root	ati+pra+yam	ati-pra-√ yam ¦ to give or hand over, TS.; TBr.
3093	atiprayuj	atiprayuj	yuj	yuj	parse	7P,7Ā	Y	ati pra							prefix+root	ati+pra+yuj	ati-pra-√ yuj ¦ to separate from (with instr.), TS.
3094	atipravah	atipravah	vah	vah	parse	1P,1Ā	Y	ati pra							prefix+root	ati+pra+vah	ati-pra-√ vah ¦ to extend or carry beyond.
3095	atipravā	atipravA	vā	vA	parse	2P	Y	ati pra							prefix+root	ati+pra+vA	ati-pra-√ 2. vA ¦ cl. 4. P. -vAyati, to blow violently, MBh.
3097	atipravṛt	atipravft	vṛt	vft	parse	1Ā	Y	ati pra							prefix+root	ati+pra+vft	ati-pra-√ vft ¦ to issue violently (as blood from a wound), Suśr.;  to have an intense effect (as venom), Suśr.
3098	atiprave	atiprave	ve	ve	parse	1P,1Ā	Y	ati pra							prefix+root	ati+pra+ve	ati-pra-√ ve ¦ to add in weaving, weave on an additional piece, ŚāṅkhBr.
3099	atipraśaṃs	atipraSaMs	śaṃs	SaMs	parse	1P,1Ā	Y	ati pra							prefix+root	ati+pra+SaMs	ati-pra-√ SaMs ¦ to praise highly.
3099	atipraśṛdh	atipraSfD	śṛdh	SfD	parse	1P,1Ā	Y	ati pra							prefix+root	ati+pra+SfD	ati-pra-√ SfD ¦ (Caus. -SarDayati), to obtrude or force anything upon any one (dat.), RV. viii, 13, 6.
3100	atipraśru	atipraSru	śru	Sru	parse	5P,5Ā	Y	ati pra							prefix+root	ati+pra+Sru	ati-pra-√ Sru ¦ cl. 5. Ā. -SfRve (Ved. 3. sg.), to become known or famous more than others, RV. x, 11, 7.
3101	atiprasad	atiprasad	sad	sad	parse	1,6P	Y	ati pra							prefix+root	ati+pra+sad	ati-pra-√ sad ¦ P. -sidati, to become completely cheerful.
3102	atiprasṛ	atiprasf	sṛ	sf	parse	1,3P,3Ā,10P,10Ā	Y	ati pra							prefix+root	ati+pra+sf	ati-pra-√ sf ¦ Intens. -sarsfte, to outstrip, surpass, RV. ii, 25, 1.
3104	atiprasthā	atiprasTA	sthā	sTA	parse	1P,1Ā	Y	ati pra							prefix+root	ati+pra+sTA	ati-pra-√ sTA ¦ to have an advantage over, RV. i, 64, 13 and viii, 60, 16.
3105	atiprahā	atiprahA	hā	hA	parse	3Ā	Y	ati pra							prefix+root	ati+pra+hA	ati-pra-√ hA ¦ cl. 3. Ā. -jihIte, to give or hand over, ŚBr.
3108	atipru	atipru	pru	pru	parse	1Ā	Y	ati							prefix+root	ati+pru	ati-√ pru ¦ to jump over, to escape, TS.
3110	atibādh	atibAD	bādh	bAD	parse	1Ā,1P	Y	ati							prefix+root	ati+bAD	ati-√ bAD ¦ to molest or annoy exceedingly.
3111	atibṛh	atibfh	bṛh	bfh	parse	6P	Y	ati							prefix+root	ati+bfh	ati-√ 1. bfh ¦ to push out intensely (scil. retas; used only for the etym. of vfzaBa), Nir.
3113	atibrū	atibrU	brū	brU	parse	2P,2Ā	Y	ati							prefix+root	ati+brU	ati-√ brU or aBi-√ brU, ¦ to insult, abuse, MBh. iii, 15640.
3114	atibhā	atiBA	bhā	BA	parse	2P	Y	ati							prefix+root	ati+BA	ati-√ BA ¦ -BA/ti, to blaze or be very bright, AV. x, 3, 17; R.
3115	atibhū	atiBU	bhū	BU	parse	1P,1Ā	Y	ati							prefix+root	ati+BU	ati-√ BU ¦ (perf. -baBUva), to originate or take rise in an excessive way, MBh. viii, 4541;  P. (once Ā. TĀr.), to excel
3120	atibhūṣ	atiBUz	bhūṣ	BUz	parse	1P,1Ā	Y	ati							prefix+root	ati+BUz	ati-√ 2. BUz ¦ to adorn one's self before (another); to adorn richly.
3121	atibhṛ	atiBf	bhṛ	Bf	parse	1P,1Ā,3P,3Ā,2P,2Ā	Y	ati							prefix+root	ati+Bf	ati-√ Bf ¦ Ā. to pass or extend over (perf. 2. sg. jaBrize), RV. ix, 86, 29 and 100, 9.
3123	atiman	atiman	man	man	parse	8,4Ā	Y	ati							prefix+root	ati+man	ati-√ man ¦ -manyate (1. pl. -manAmahe/'ti), to disdain, despise, RV. &c.; to value less than one's self, ŚBr.; to pride
3137	atimuc	atimuc	muc	muc	parse	1Ā	Y	ati							prefix+root	ati+muc	ati-√ muc ¦ Pass. -mucyate, to avoid, escape, ŚBr. &c.
3145	atiyaj	atiyaj	yaj	yaj	parse	1P,1Ā	Y	ati							prefix+root	ati+yaj	ati-√ yaj ¦ to neglect or pass in offering a sacrifice, TS.
3146	atiyā	atiyA	yā	yA	parse	2P	Y	ati							prefix+root	ati+yA	ati-√ yA ¦ to pass over or before; to surpass, RV. &c.; to pass by, RV. i, 135, 7; to transgress, BhP.
3148	atirāj	atirAj	rāj	rAj	parse	1P,1Ā	Y	ati							prefix+root	ati+rAj	ati-√ rAj ¦ to shine over (aor. Subj. 3. sg. a/ti rAw), RV. vi, 12, 5.
3160	atiric	atiric	ric	ric	parse	7P,7Ā,1P,4Ā,10	Y	ati							prefix+root	ati+ric	ati-√ ric ¦ Pass. -ricyate, to be left with a surplus, to surpass (in a good or bad sense with abl. or acc.); to be supe
3170	atiruc	atiruc	ruc	ruc	parse	1Ā,1P	Y	ati							prefix+root	ati+ruc	1. ati-√ ruc ¦ to shine over or along, RV. &c.; to surpass in shining.
3172	atiruh	atiruh	ruh	ruh	parse	1P	Y	ati							prefix+root	ati+ruh	ati-√ ruh ¦ to climb or ascend over, RV. ix, 17, 5; to grow higher, RV. x, 90, 2.
3174	atilaṅgh	atilaNG	laṅgh	laNG	parse	1P,1Ā,10P	Y	ati							prefix+root	ati+laNG	ati-√ laNG ¦ Caus. -laNGayati, to transgress, Kathās.
3176	ativac	ativac	vac	vac	parse	2P,3P,3Ā	Y	ati							prefix+root	ati+vac	ati-√ vac ¦ to blame, to speak too loudly either in blaming or praising.
3177	ativad	ativad	vad	vad	parse	1P,1Ā	Y	ati							prefix+root	ati+vad	ati-√ vad ¦ to speak louder or better, to surpass or overpower in disputing, TBr. &c.; to ask for too much, AV.
3179	ativah	ativah	vah	vah	parse	1P,1Ā	Y	ati							prefix+root	ati+vah	ati-√ vah ¦ to carry over or across to pass by; to pass (time), Daś. : Caus. vAhayati, to let pass, get over or through,
3186	ativā	ativA	vā	vA	parse	2P	Y	ati							prefix+root	ati+vA	ati-√ 2. vA ¦ cl. 2. P. -vAti, to blow beyond, AV.; cl. 4. P. -vayati, to blow violently;  (ati-vAyati), pr.p. loc. (ind
3188	atividhā	ativiDA	dhā	DA	parse	3P,3Ā,1P,1Ā,2P,4Ā,4P	Y	ati vi							prefix+root	ati+vi+DA	ati-vi-√ DA ¦ cl. 3. Ā. -Datte, to distribute too much, ŚBr.
3189	ativirāj	ativirAj	rāj	rAj	parse	1P,1Ā	Y	ati vi							prefix+root	ati+vi+rAj	ati-vi-√ rAj ¦ to shine or be brilliant exceedingly, MBh. &c.
3190	ativilaṅgh	ativilaNG	laṅgh	laNG	parse	1P,1Ā,10P	Y	ati vi							prefix+root	ati+vi+laNG	ati-vi-√ laNG ¦ Caus. -laNGayati, to pass by without taking notice of BhP.
3191	ativiluḍ	ativiluq	luḍ	luq	parse	1P,6P	Y	ati vi							prefix+root	ati+vi+luq	ati-vi-√ luq ¦ Caus. -loqayati, to disturb, destroy, MBh.
3192	ativivṛt	ativivft	vṛt	vft	parse	1Ā	Y	ati vi							prefix+root	ati+vi+vft	ati-vi-√ vft ¦ Caus. -vartayati, to separate too far, to make too great distinction between, RV.; Prāt.
3193	ativiśrambh	ativiSramB	śrambh	SramB	parse	1Ā	Y	ati vi							prefix+root	ati+vi+SramB	ati-vi-√ SramB ¦ Caus. -SramBayati, to make too familiar or too intimate, Car.
3197	ativiśvas	ativiSvas	śvas	Svas	parse	2P	Y	ati vi							prefix+root	ati+vi+Svas	ati-vi-√ Svas ¦ to confide or trust too much (generally with na neg.)
3198	ativī	ativI	vī	vI	parse	2P,2Ā	Y	ati							prefix+root	ati+vI	ati-√ vI ¦ to outstrip, RV. v, 44, 7.
3200	ativṛt	ativft	vṛt	vft	parse	1Ā	Y	ati							prefix+root	ati+vft	ati-√ vft ¦ to pass beyond, surpass, cross; to get over, overcome; to transgress, violate, offend, especially by unfaith
3207	ativṛdh	ativfD	vṛdh	vfD	parse	1Ā,1P,10	Y	ati							prefix+root	ati+vfD	ati-√ vfD ¦ to surpass in growing, grow beyond, ŚBr.
3210	ativṛṣ	ativfz	vṛṣ	vfz	parse	1P,1Ā	Y	ati							prefix+root	ati+vfz	ati-√ vfz ¦ to rain violently.
3213	ativyadh	ativyaD	vyadh	vyaD	parse	4P,4Ā	Y	ati							prefix+root	ati+vyaD	ati-√ vyaD ¦ (Ved. Inf. ati-viDe, RV. v, 62, 9), to pierce through, RV.; AV.
3217	ativraj	ativraj	vraj	vraj	parse	1P,10P	Y	ati							prefix+root	ati+vraj	ati-√ vraj ¦ to pass by; to fly over, RV. i, 116, 4; to pass or wander through.
3218	atiśaṃs	atiSaMs	śaṃs	SaMs	parse	1P,1Ā	Y	ati							prefix+root	ati+SaMs	ati-√ SaMs ¦ to recite beyond measure, to continue reciting; to omit in reciting, AitBr.
