L_id	headword	headword_slp1	root	root_slp1	root_via	root_class	root_canonical	prefixes	affix	affix_slp1	group	anubandha	anubandha_steps	affix_source	deriv_type	parse	context
10	aṃśa	aMSa	aś	aS	fr-root	0Ā,0P	Y								root-attribution		a/MSa ¦ m. (probably fr. √ 1. aS, perf. An-a/MSa, and not from the above √ aMS fictitiously formed to serve as root), a
38	aṃśīkṛ	aMSIkf	kṛ	kf	parse	2P,2Ā,1P,1Ā,5P,5Ā,8P,8Ā	Y								stem+root (denominal/cmpd)	aMSI+kf	1. aMSI-√ kf ¦ to share.
107	aṃhana	aMhana	aṃh	aMh	fr-root	1Ā,10P	Y								root-attribution		aMhana ¦ n. (fr. √ 1. aMh) the act of moving or creeping (like a snake), L.
423	akṣ	akz	aś	aS	fr-root	0Ā,0P	Y								root-attribution		akz ¦ (perhaps a kind of old Desid. of √ 1. aS) cl. 1. 5. akzati, akzRoti (Pāṇ. iii, 1, 75; fut. akzizyati or akzyati, L
654	akṣilakṣīkṛ	akzilakzIkf	kṛ	kf	parse	2P,2Ā,1P,1Ā,5P,5Ā,8P,8Ā	Y								stem+root (denominal/cmpd)	akzi+lakzI+kf	akzi—lakzI-√ kf ¦ (P. -karoti), to make anything an object for the eyes, look at, Naiṣ.
753	akhilīkṛ	aKilIkf	kṛ	kf	parse	2P,2Ā,1P,1Ā,5P,5Ā,8P,8Ā	Y								stem+root (denominal/cmpd)	aKilI+kf	aKilI-√ kf ¦ -kftya ind.p. not having annihilated or rendered powerless, Śiś. ii, 34.
878	agocarīkṛ	agocarIkf	kṛ	kf	parse	2P,2Ā,1P,1Ā,5P,5Ā,8P,8Ā	Y	a							prefix+root	a+go+carI+kf	a-go—˚carI-√ kf ¦ (P. -karoti), to make unfit to collect alms in Divyāv.
884	agdhād	agDAd	ghas	Gas	fr-root	1	Y								root-attribution		agDA/d ¦ mfn. (fr. a + gDa p.p.p. fr. √ Gas + ad), eating food which is not yet eaten, TS., (Comm. = dagDAd.)
1192	agra	agra	aṅg	aNg	fr-root	1P,10P	Y								root-attribution		a/gra ¦ mfn. (fr. √ aNg, Uṇ.), foremost, anterior, first, prominent, projecting, chief, best, L.
1231	agraṇīkṛ	agraRIkf	ṇī	RI	parse		?								stem+root (denominal/cmpd)	agra+RI+kf	agra-RI-√ kf ¦ P. -karoti, to send before, VP.
1270	agrasaṃkhyā	agrasaMKyA	ruh	ruh	fr-root	1P	Y								root-attribution		agra—saMKyA ¦ f. (acc. with Caus. of sam-A-√ ruh, ‘to put at the head’), Ragh.
