L_id	headword	headword_slp1	root	root_slp1	root_source	prefixes	karaka	karaka_sense	affix	affix_slp1	group	anubandha	anubandha_steps	affix_source	context
305	aṅgalepaḥ	aNgalepaH	lip	lip	nearest-root		BAve	action / abstract (bhāve)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	e GaY#}] ∙²1 a scented cosmetic. ∙²2 [{#BAve GaY#}] a
305	aṅgasaṃskāraḥ	aNgasaMskAraH	kṛ	kf	nearest-root		BAve	action / abstract (bhāve)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	saMskriyate anena#}; {#kf-karaRe#} or {#BAve GaY#}] ∙
305	aṅgahāraḥ	aNgahAraH	hṛ	hf	nearest-root		BAve	action / abstract (bhāve)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	tastataH cAlyate yatra, hf-ADAre#} or {#BAve GaY#}] g
314	aṅganabhuvaḥ	aNganaBuvaH					karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	uated or being in the courtyard. ∙²2 [{#karaRe lyuw#}] A
314	aṅganabhuvaḥ	aNganaBuvaH					BAve	action / abstract (bhāve)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	[{#karaRe lyuw#}] A conveyance. ∙²3 [{#BAve lyuw#}] G
319	aṅgārāvakṣepaṇam	aNgArAvakzepaRam					karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	zepaRam#}¦ [{#aNgArA avakzipyante anena karaRe lyuw#}] a
325	aṅgāritaḥ	aNgAritaH	aṅgāra	aNgAra	nearest-root		kartari	agent (kartari)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	gAramiva Acarati#}; {#aNgAra-kvip tataH kartari kta#}] A
392	acyuta	acyuta	kālasāmānye	kAlasAmAnye	local		kartari	agent (kartari)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	At na cyutaH cyavate#} {#vA-kAlasAmAnye kartari kta#}] ∙
396	ajanam	ajanam	aj	aj	local		BAve	action / abstract (bhāve)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	{#ajanam#}¦ [{#aj BAve lyuw#}] M
421	ajarya	ajarya	ja	ja	local		kartari	agent (kartari)	yat	yat	Gerundive — “to-be-Xed”	kṛt affix 'yat' -> -ya; gerundive -ya | anubandha: tit: svarita accent on the affix (6.1.185)	t = it ; → -ya	Apte-SH(affix_map.tsv)	{%<lex>a.</lex>%} [{#na jIryati#}; {#ja kartari yat#} <l
440	ajiḥ	ajiH					BAve	action / abstract (bhāve)	in	in	Possessive — “having X”	taddhita affix 'in' -> -in; possessive '-in' ('having') | anubandha: matvartha (possessive) affix		WIL	} + .{@{#-jiH#}@}¦ {%<lex>f.</lex>%} [{#BAve in#}] ∙
470	ajman	ajman	aj	aj	local		karaRe	instrument (karaṇe)	manin	manin	Uṇādi formation	uṇādi affix 'manin' -> -man; Uṇādi noun ('-man') | anubandha: n indicatory; Uṇādi affix		WIL	#ajati gacCati svargaM dAnena anayA, aj-karaRe manin#} {#
514	aṭṭanam	awwanam	aṭṭ	aww	local		karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	[{#awwapate anAdriyate ripuranena, aww karaRe lyuw#}] A
514	aṭṭanam	awwanam	aṭṭ	aww	oracle-join		BAve	action / abstract (bhāve)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	{#awwanam#} + .{@{#-nam#}@}¦ [{#BAve lyuw#}] D
525	aḍḍanam	aqqanam	aḍḍ	aqq	oracle-join		karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	{#aqqanam#}¦ [{#karaRe lyuw#}] A
531	aṇuvīkṣaṇam	aRuvIkzaRam					karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	arts. ∙²2 [{#aRuH sUkzmo vIkzyate anena karaRe lyuw#}] a
838	atyaḥ	atyaH	at	at	local		kartari	agent (kartari)	yat	yat	Gerundive — “to-be-Xed”	kṛt affix 'yat' -> -ya; gerundive -ya | anubandha: tit: svarita accent on the affix (6.1.185)	t = it ; → -ya	Apte-SH(affix_map.tsv)	{#atyaH#}¦ [{#atati SIGraM gacCati, at kartari yat#}] A
959	adevatra	adevatra	trai	trE	local		karaRe	instrument (karaṇe)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	{#na devAH trAyante prIyante anena, trE-karaRe ka#}] n
1094	adhimanthaḥ	aDimanTaH	manth	manT	local		karaRe	instrument (karaṇe)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	aH#}¦ [{#aDikaM maTyate anena#}; {#manT karaRe GaY#}] ∙
1121	adhirohaṇī	aDirohaRI	ruh	ruh	local		karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	.{@{#-RI#}@}¦ [{#aDiruhyate anayA, ruh karaRe lyuw#}] A
1129	adhivāsaḥ	aDivAsaH					karaRe	instrument (karaṇe)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	/ns>). ∙²4 [{#aDivAsayati devatA anena, karaRe GaY#}] C
1140	adhivettṛ	aDivettf	viṭ	viw	local		kartari	agent (kartari)	tṛc	tfc	Agent — the doer	kṛt affix 'tṛc' -> -tṛ; agent noun (-tṛ/-tar) | anubandha: tit: svarita accent on the affix (6.1.185); indicatory .r; cit: final acute accent, antodatta (6.1.163)	c = it (P.1.3.3) ; → -tṛ	Apte-SH(affix_map.tsv)	{#aDivettf#}¦ {%<lex>m.</lex>%} [{#viw-karttari tfc#}] A
1142	adhivedanam	aDivedanam					BAve	action / abstract (bhāve)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	{#aDivedanam#}¦ [{#BAve lyuw#}] =
1146	adhiśrayaḥ	aDiSrayaH	śri	Sri	local		BAve	action / abstract (bhāve)	ac	ac	Agent — the doer	kṛt affix 'ac' -> -a; agent / action -a | anubandha: cit: final acute accent, antodatta (6.1.163)	c = it ; → -a	Apte-SH(affix_map.tsv)	{#aDiSrayaH#}¦ [{#Sri-BAve ac#}] ∙
1163	adhyayaḥ	aDyayaH	i	i	local		BAve	action / abstract (bhāve)	ac	ac	Agent — the doer	kṛt affix 'ac' -> -a; agent / action -a | anubandha: cit: final acute accent, antodatta (6.1.163)	c = it ; → -a	Apte-SH(affix_map.tsv)	{#aDyayaH#}¦ [{#i-BAve ac#}] ∙
1175	adhīvāsaḥ	aDIvAsaH	acchādane	acCAdane	local		karaRe	instrument (karaṇe)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	{#aDIvAsaH#}¦ [{#vas acCAdane karaRe GaY#}] A
1775	anutaram	anutaram	tṝ	tF	local		karaRe	instrument (karaṇe)	ap	ap	Agent — the doer	kṛt affix 'ap' -> -a; action / agent noun | anubandha: p = pit -> anudātta affix (3.1.4)		WIL	anutaram#}¦ [{#anutIryate anena#}; {#tF-karaRe ap#}] F
1832	anudhyāyaḥ	anuDyAyaH	dhyai	DyE	local		kartari	agent (kartari)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	{#anuDyAyaH#}¦ [{#DyE kartari GaY#}] O
2243	anustaraṇī	anustaraRI	tṝ	tF	oracle-join		karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	{#anustaraRam#} + .{@{#-RI#}@}¦ [{#karaRe lyuw#}] ∙
2243	anustaraṇī	anustaraRI	tṝ	tF	local		karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	#} ({#anutIryate vEtariRI nadI anayA tF-karaRe lyuw pfzo
2348	antarikṣasadyam	antarikzasadyam	sad	sad	local		BAve	action / abstract (bhāve)	yat	yat	Gerundive — “to-be-Xed”	kṛt affix 'yat' -> -ya; gerundive -ya | anubandha: tit: svarita accent on the affix (6.1.185)	t = it ; → -ya	Apte-SH(affix_map.tsv)	yam#}¦ [{#antarikze sadyaM sadanaM, sad BAve yat#}] d
2355	antardhā	antarDA	dhā	DA	oracle-join		BAve	action / abstract (bhāve)	aṅ	aN	Other	uncurated affix 'aṅ' | it-letters: nit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)		generic-decoder	{#antarDA#}¦ [{#DA BAve aN#}] C
2376	antram	antram	ant	ant	local		karaRe	instrument (karaṇe)	ṣṭran	zwran	Other	uncurated affix 'ṣṭran' | it-letters: sit (.s): feminine is formed with nis -i (4.1.41); tit (.t): feminine is formed with nip -i (4.1.15)		generic-decoder	am#}¦ [{#antyate baDyate deho'nena, ant-karaRe zwran#}; a
2399	annāvṛdh	annAvfD	vṛdh	vfD	local		karaRe	instrument (karaṇe)	kvip	kvip	Bare root / zero affix	kṛt affix 'kvip' -> -∅; zero affix -> root used directly as a noun | anubandha: k,v,i,p all it -> the whole affix elides (6.1.67)		WIL	{#annAvfD#}¦ [{#annaM varDate anena vfD-karaRe kvip, pUr
2544	apagaraḥ	apagaraH	gṝ	gF	local		BAve	action / abstract (bhāve)	ap	ap	Agent — the doer	kṛt affix 'ap' -> -a; action / agent noun | anubandha: p = pit -> anudātta affix (3.1.4)		WIL	{#apagaraH#}¦ [{#apa-nindArTe gF BAve ap#}] ∙
2570	apacī	apacI	karma	karma	local		kartari	agent (kartari)	ac	ac	Agent — the doer	kṛt affix 'ac' -> -a; agent / action -a | anubandha: cit: final acute accent, antodatta (6.1.163)	c = it ; → -a	Apte-SH(affix_map.tsv)	I#}¦ [{#apakfzwaM pacyate asO, pac karmakartari ac gOrA
2592	apatānakaḥ	apatAnakaH	tan	tan	local		kartari	agent (kartari)	ṇvul	Rvul	Agent — the doer	kṛt affix 'ṇvul' -> -aka; agent noun (vṛddhi) | anubandha: nit (.n): causes vrddhi of the base vowel (7.2.115-117); indicatory u: distinguishes the affix; conditions i.t in some forms; lit: acute on the vowel just before the it-letter (6.1.193)	ṇ = it (→ vṛddhi) ; l = it ; vu → aka (P.7.1.1) ; → -aka	Apte-SH(affix_map.tsv)	H#}¦ [{#apakamya antarAntarA tanute tan kartari Rvul#}] S
2600	apatyam	apatyam	patḷ	patx	oracle-join		karaRe	instrument (karaṇe)	yat	yat	Gerundive — “to-be-Xed”	kṛt affix 'yat' -> -ya; gerundive -ya | anubandha: tit: svarita accent on the affix (6.1.185)	t = it ; → -ya	Apte-SH(affix_map.tsv)	}¦ [{#na patanti pitaro'nena, pat bAhu˚ karaRe yat#}, <
2615	apadānam	apadAnam	dai	dE	local		karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	#apadAyati pariSuDyati yena karmaRA, dE karaRe lyuw#}] ∙
2708	aparāddham	aparAdDam					BAve	action / abstract (bhāve)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	{#aparAdDa#} + .{@{#-dDam#}@}¦ [{#BAve ktaH#}] A
2844	apasarjanam	apasarjanam	sṛj	sfj	local		BAve	action / abstract (bhāve)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	{#apasarjanam#}¦ [{#sfj-BAve lyuw#}] ∙
2940	apāmārgaḥ	apAmArgaH	mṛj	mfj	local		karaRe	instrument (karaṇe)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	fjyate vyADyAdiranena ityapAmArgaH, mfj karaRe GaY#} {#
3003	apīnasaḥ	apInasaH	karma	karma	local		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	apInAya, apInatvAya sIyate kalpate karmakartari ka#} <l
3338	abhikhyā	aBiKyA	khyā	KyA	oracle-join		kartari	agent (kartari)	kvip	kvip	Bare root / zero affix	kṛt affix 'kvip' -> -∅; zero affix -> root used directly as a noun | anubandha: k,v,i,p all it -> the whole affix elides (6.1.67)		WIL	{#aBiKyA#}¦ {%<lex>a.</lex>%} [{#kartari kvip#}] G
3371	abhighāraḥ	aBiGAraH	ghṛ	Gf	nearest-root		BAve	action / abstract (bhāve)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	{#aBiGAraH#}¦ [{#Gf-Ric-BAve GaY#}] ∙
3570	abhimāti	aBimAti	me	me	local		kartari	agent (kartari)	ktin	ktin	Action / result noun	kṛt affix 'ktin' -> -ti; action noun (fem. -ti) | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it ; n = it ; → -ti	Apte-SH(affix_map.tsv)	{#aBimAti#}¦ {%<lex>a.</lex>%} [{#me kartari ktin na i
3887	abhīvartaḥ	aBIvartaH	vṛt	vft	local		karaRe	instrument (karaṇe)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	{#aBIvartaH#}¦ [{#vft-karaRe GaY#}] ∙
4968	avatāraḥ	avatAraH	tṝ	tF	local		karaRe	instrument (karaṇe)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	{#avatAraH#}¦ [{#ava-tF karaRe GaY#}] ∙
