lemma_aMsa_6	ὦμος
lemma_akzu_58	ἀγρεύω, ἄγρευμα, ἄγρηνον
lemma_agra_100	ἄγω, ἀγός, ἄκτωρ; ἡγεῖσθαι, στρατ-ηγός
lemma_aGa_113	ἀχ, ἀγχ
lemma_aNgiras_136	ἄγγελος
lemma_aja_169	ἀγό-ς
lemma_ajra_205	ἀγρός
lemma_aDi_353	-θι; -θα, -θε, -θευ
lemma_an_390	ἀν-, ἀ-
lemma_anu_509	ἀνὰ
lemma_anta_566	ἄντα, ἄντην; ἄντα; πέρας
lemma_antra_591	ἔντερον
lemma_anDa_592	ἐπ-ενήνοθε, κατ-ενήνοθε
lemma_anDas_594	ἀνήνοθε
lemma_apaciti_619	ἀπό-τισις
lemma_amatra_859	ἄμετρος
lemma_amfta_905	ἀμβροσία
lemma_amBas_917	ὀμφαλό-ς
lemma_ar_953	ὀρ, ἐρ; ἀρ
lemma_arh_1092	ἄρχω; ἄρχειν λάμπειν
lemma_aS_1209	ἤνεγκα; ἠνεκής; δουρηνεκές, ποδ-ηνεκής, διηνεκής
lemma_aS_1211	ὄςςομαι, ὄπωπα
lemma_aSru_1252	δάκρυ; δάκ-νω 
lemma_asfj_1355	ἔαρ
lemma_ah_1395	ἄγχω
lemma_ahan_1400	δάκρυ
lemma_ahi_1411	ἄγχω
lemma_A_1443	ἀνά
lemma_Atman_1498	ἀϋτμήν, ἀετμόν 
lemma_Ama_1555	ὠμός
lemma_Ardra_1606	ἄρδω
lemma_ASu_1632	ὠκύ-ς; ὤκιστο-ς
lemma_izira_1791	ἱερός; ἰαρός
lemma_Ikz_1819	ὄσσομαι, ὄπωπα
lemma_ukz_1854	ὑγ-ρό-ς
lemma_uru_2024	εὐρύ-ς
lemma_urvarA_2051	ἄρουρα; ἀρόω
lemma_Urj_2101	ὀργάω
lemma_UrRavABi_2112	ὑφαίνω
lemma_UrDva_2117	στῆ δ' ὀρθός; ὀρθὸς ἀναστάς
lemma_fC_2151	σκ; χ; σχ; ἔρχομαι
lemma_fta_2183	ἀραρίσκω; ὄρνυμι
lemma_fdu_2230	ἄρδω
lemma_fhat_2271	ἐλαχύς
lemma_kapanA_2417	κάμπη; κάμπτω
lemma_kam_2428	κεν
lemma_karkari_2451	καρκαίρω
lemma_karz_2470	κείρω
lemma_kalaSa_2473	κάλυξ, κύλιξ; καλύπτω
lemma_kalA_2474	κείρω
lemma_kuB_2599	κύπτω, κυφός
lemma_kulAya_2616	καλύπτω
lemma_kratu_2728	κρατός
lemma_kzap_2779	σκέπω
lemma_kzam_2784	χθώυ; χαμαί, χθαμαλός
lemma_kzamya_2785	χθόνιο-ς
lemma_kzi_2795	φθίω
lemma_kzura_2818	ξυρόν; ξύω
lemma_kzRu_2837	ξύω
lemma_Kid_2868	κῆδος
lemma_gfD_3011	γλίχομαι
lemma_gnA_3092	γυνὴ
lemma_graT_3098	κλώθω
lemma_Ga_3124	γε
lemma_ca_3183	τε
