L_id	headword	headword_slp1	source	source_slp1	source_class	is_root	source_gloss_de	deriv_marker	context
26287	chettar	Cettar	chid	Cid	root	True		von	{#Cettar#}¦ (von 1. {#Cid#}) nom. ag.  1〉 : {#tfRa˚#} KULL._zu_M. 4,71. {
26306	ja	ja	jan	jan	root	True		von	1. {#ja#}¦ (von {#jan#})  1〉 adj. (f. {#A#}) am Ende eines comp. P. 3,2,97. fgg. VO
26309	jaṃh	jaMh	grah	grah	root	True		von	va\tsABi vi\jaNga^he#} AV. 5,19,4.
26313	jakṣ	jakz	ghas	Gas	root	True		von	1. {#jakz#}¦ (von {#Gas#} mit Redupl.), {#jakziti#} P. 7,2,76. VOP. 9,27. {#jagDi#} B
26314	jakṣ	jakz	has	has	root	True		von	2. √{#jakz#}¦ (von {#has#} mit Redupl.)  DHĀTUP. 24,63. {#tvame\tAnru^dato jakza^ta\Sc
26315	jakṣa	jakza	yakṣa	yakza	root	True		von	rit- Form von {#yakza#} LOIS._zu_AK. 1,1,1,6.
26316	jakṣaṇa	jakzaRa	jakṣ	jakz	root	True		von	{#jakzaRa#}¦ (von 1. {#jakz#}) n.  H. 423.
26321	jagat	jagat	gam	gam	root	True		von	{#ja/gat#}¦ (von {#gam#}) Uṇ. 2,81. P. 3,2,178, Vārtt. 2. VOP. 26,71.  1〉
26367	jaguri	jaguri	gam	gam	root	True		von	{#ja/guri#}¦ (von {#gam#} oder {#gA#}) adj.  NIR. 11,25. {#dU\re hyaDvA\ j
26369	jagdhi	jagDi	jakṣ	jakz	root	True		von	{#ja/gDi#}¦ (von {#jakz#}) f.  AK. 2,9,55. TRIK. 2,9,17. H. 423. {#SAntyA
26370	jagmi	jagmi	gam	gam	root	True		von	{#ja/gmi#}¦ (von {#gam#}) adj. P. 3,2,171. VOP. 26,155.  (acc. oder loc.)
26383	jaghni	jaGni	han	han	root	True		von	{#ja/Gni#}¦ (von {#han#}) adj.  P. 3,2,171. {#jaGni^rvf\tram#} ṚV. 9,61,2
26389	jaṅgama	jaNgama	gam	gam	root	True		von	gama#}¦ (vom intens. von {#gam#}) adj. f. {#A#} ; subst.  (was in der älteren Sprache {#ja
26406	jaja	jaja	jaj	jaj	root	True		von	{#jaja#}¦ (von {#jaj#}) m. ; {#jajOjas#} n.  WILS. — Vgl. {#jAjin#}.
26409	jajñi	jajYi	jan	jan	root	True		von	{#ja/jYi#}¦ (von {#jan#}) adj.  P. 3,2,171 und Vārtt. 3. {#vIja#} TS. 7,5
26414	jañjapūka	jaYjapUka	jap	jap	root	True		von	U/ka#}¦ (vom intens. von {#jap#}) adj.  P. 3,2,166. VOP. 26,153.
26456	jaḍa	jaqa	vā	vA	root	True		von	yati ..#} PAÑCAT. I, 353. {#kfzRavarRo 'yaM (meGaH) jaqAtmA ca#} (daher als Gatte verschmä
26458	jaḍatā	jaqatA	jaḍa	jaqa	root	True		von	{#jaqatA#}¦ (von {#jaqa#}) f.  1〉  SUŚR. 2,266,20. RAGH. 9,46. SĀH. D. 63
26461	jaḍiman	jaqiman	jaḍa	jaqa	root	True		von	{#jaqima/n#}¦ (von {#jaqa#}) m. gaṇa {#dfQAdi#} zu P. 5,1,123. = {#jaqatA#}
26462	jaḍībhāva	jaqIBAva	jaḍa	jaqa	root	True		von	{#jaqIBAva#}¦ (von {#jaqa#} + {#BU#}) m. = {#jaqatA#} 1. AK. 3,4,22,137.
26483	jan	jan	ji	ji	root	True		von	meDena yajeyamiti#} R. 1,39,24. — {#ava#} : {#varaM kanyAvajanitA#} ad HIT. Pr. 12. 13. —
26484	jana	jana	jan	jan	root	True		von	1. {#ja/na#}¦ (von {#jan#}) gaṇa {#vfzAdi#} zu P. 6,1,203.  1〉 m.  a〉  (sowohl coll. a
26486	janaṃsaha	janaMsaha	jana	jana	root	True		von	#}¦ ({#janam#}, acc. von {#jana#}, + {#saha#}) adj. , von Indra ṚV. 2,21,3.
26487	janaka	janaka	jan	jan	root	True		von	{#janaka#}¦ (von {#jan#}) P. 7,3,35, Sch.  1〉 adj. : {#tanuSukraH strIjan
26498	janakīya	janakIya	jana	jana	root	True		von	#janakI/ya#}¦ adj. von {#jana#} gaṇa {#gahAdi#} zu P. 4,2,138. Kār. 2 zu 4,3,60.
26500	janaṃgama	janaMgama	jana	jana	root	True		von	#}¦ ({#janam#}, acc. von {#jana#}, + {#gama#}) m.  Caṇḍāla AK. 2,10,20. H. 933. — Vgl. {#j
26502	janat	janat	jan	jan	root	True		von	eine Form von {#jan#} angesehen wurde, dürfte aus folgender Reihe hervorgehen: {#BUH, svAh
26503	janatā	janatA	jana	jana	root	True		von	{#jana/tA#}¦ (von {#jana#}) f. , auch  P. 4,2,43. VOP. 7,35. AK. 3,3,43 (4
26508	janana	janana	jan	jan	root	True		von	{#ja/nana#}¦ (von {#jan#})  1〉 adj. f. {#I#} ; am Ende eines comp.: {#strI
26510	janaṃtapa	janaMtapa	jana	jana	root	True		von	#}¦ ({#janam#}, acc. von {#jana#}, + {#tapa#}) m. N. pr. eines Mannes; s. {#jAnaMtapi#}.
26519	janamejaya	janamejaya	jana	jana	root	True		von	#}¦ ({#janam#}, acc. von {#jana#}, + {#ejaya#}) m. P. 3,2,28. VOP. 26,51. N. pr. eines Pār
26520	janayati	janayati	jan	jan	root	True		von	{#ja/nayati#}¦ (von {#jan#}) f. : {#jana^yatyE^ tvA\ saM yOmi#} VS. 1,22.
26538	janas	janas	jan	jan	root	True		von	{#janas#}¦ (von {#jan#}) n.  1〉 parox. : {#pA\To na pA\yuM jana^sI u\Be
26552	jani	jani	jan	jan	root	True		von	,131) und {#ja/nI#} (von {#jan#}) f.  1〉 ({#janaye, janyus, janayas, janIs#}) : {#jA\raH k
26554	janitar	janitar	jan	jan	root	True		von	{#janita/r#}¦ (von {#jan#})  1〉 m.  P. 6,4,53. H. ś. 116. MED. y. 25. ŚABDA
26563	janiman	janiman	jan	jan	root	True		von	{#ja/niman#}¦ (von {#jan#}) n. Uṇ. 4,150.  1〉 : {#trira^sya\ tA pa^ra\mA sa
26568	janiṣya	janizya	jan	jan	root	True		von	{#janizya#}¦ (von {#jan#}) adj. : {#(pumAn) jAto vApi janizyo vA#} R. 3,66
26573	janu	janu	jan	jan	root	True		von	{#janu#} und {#janU#}¦ (von {#jan#}) ff. = {#janus#}  UṆĀDIK._im_ŚKDR. — Vgl. {#saja
26576	janevāda	janevAda	jana	jana	root	True		von	a#}¦ ({#jane#}, loc. von {#jana#}, + {#vAda#}) m. = {#janavAda#} gaṇa {#kaTAdi#} zu P. 4,4
26582	janovāda	janovAda	jana	jana	root	True		von	#}¦ ({#janas#}, nom. von {#jana#}, + {#vAda#}) m. = {#janavAda#} gaṇa {#kaTAdi#} zu P. 4,4
26584	jantu	jantu	jan	jan	root	True		von	{#jantu/#}¦ (von {#jan#}) m. Uṇ. 1,72.  1〉  NAIGH. 2,2. AK. 1,1,4,8. 3,4,
26595	jantva	jantva	jan	jan	root	True		von	{#jantva^#}¦ (von {#jan#}) adj. : {#yajjA\taM yacca^ ja\ntvam#} ṚV. 8,78,6
26607	janman	janman	jan	jan	root	True		von	{#ja/nman#}¦ (von {#jan#}) n. Uṇ. 4,146.  1〉  AK. 1,1,4,8. H. 1367. {#(gar
26630	janya	janya	jan	jan	root	True		von	1. {#ja/nya#}¦ (von {#jan#})  1〉 adj.  P. 3,4,68. PAT._zu_P. 3,1,97. VOP. 26,7. H. an.
