affix,entropy_bits,n
ḍa,2.092,34
anīyar,2.004,47
yat,1.883,138
ac,1.843,411
kvip,1.837,195
ap,1.826,248
kta,1.738,1083
in,1.679,54
ghañ,1.669,1515
aṇ,1.482,31
ṇyat,1.41,75
ka,1.387,187
kyap,1.374,84
śa,1.353,44
lyuṭ,1.345,2023
ktic,1.153,54
ktin,1.012,305
ṇvul,0.983,47
yuc,0.939,53
aṅ,0.675,79
ṣṭran,0.631,49
lyu,0.329,182
