affix,WIL,SKD,VCP,Apte,AP,SHS,KRM,MW
lyuṭ,1028,597,1096,118,118,87,7,0
kta,1543,391,585,25,26,21,35,0
ghañ,842,537,715,82,89,62,30,0
ac,779,67,267,28,29,17,3,0
kan,927,0,0,0,0,0,0,0
aṇ,640,9,17,1,0,2,2,0
ini,649,0,4,0,0,0,0,0
ktin,268,85,157,21,17,19,6,0
ka,360,40,38,6,6,2,95,0
yat,300,36,79,5,6,2,10,0
kvip,221,61,107,6,6,4,12,0
śatṛ,388,3,2,0,0,0,0,0
ap,140,103,118,8,7,10,2,0
ṭāp,387,0,0,0,0,0,0,0
ṭhak,354,0,0,0,0,0,0,0
