dict_a,dict_b,shared_headwords,root_agrees,pct,ci95_low,ci95_high
WIL,SKD,85,15,17.6,11.0,27.1
WIL,VCP,1615,402,24.9,22.8,27.1
WIL,Apte,75,16,21.3,13.6,31.9
WIL,AP,82,16,19.5,12.4,29.4
WIL,SHS,37,1,2.7,0.5,13.8
WIL,KRM,46,29,63.0,48.6,75.5
WIL,MW,1070,90,8.4,6.9,10.2
WIL,PWG,3802,772,20.3,19.1,21.6
WIL,PW,186,39,21.0,15.7,27.4
SKD,VCP,56,34,60.7,47.6,72.4
SKD,Apte,81,37,45.7,35.3,56.5
SKD,AP,57,22,38.6,27.1,51.6
SKD,SHS,1,0,0.0,0.0,79.3
SKD,MW,13,5,38.5,17.7,64.5
SKD,PWG,29,15,51.7,34.4,68.6
SKD,PW,2,0,0.0,0.0,65.8
VCP,Apte,80,16,20.0,12.7,30.0
VCP,AP,90,19,21.1,14.0,30.6
VCP,SHS,47,32,68.1,53.8,79.6
VCP,KRM,13,3,23.1,8.2,50.3
VCP,MW,175,38,21.7,16.2,28.4
VCP,PWG,778,114,14.7,12.3,17.3
VCP,PW,26,5,19.2,8.5,37.9
Apte,AP,168,157,93.5,88.7,96.3
Apte,SHS,6,1,16.7,3.0,56.4
Apte,MW,11,2,18.2,5.1,47.7
Apte,PWG,46,36,78.3,64.4,87.7
Apte,PW,1,1,100.0,20.7,100.0
AP,SHS,5,1,20.0,3.6,62.4
AP,MW,10,3,30.0,10.8,60.3
AP,PWG,50,38,76.0,62.6,85.7
AP,PW,1,1,100.0,20.7,100.0
SHS,MW,4,2,50.0,15.0,85.0
SHS,PWG,10,2,20.0,5.7,51.0
KRM,MW,12,4,33.3,13.8,60.9
KRM,PWG,34,1,2.9,0.5,14.9
KRM,PW,4,1,25.0,4.6,69.9
MW,PWG,692,451,65.2,61.5,68.6
MW,PW,58,36,62.1,49.2,73.4
PWG,PW,479,446,93.1,90.5,95.1
