L_id	headword	headword_slp1	root	root_slp1	root_source	prefixes	karaka	karaka_sense	affix	affix_slp1	group	anubandha	anubandha_steps	affix_source	context
92	ukha	uKa	ukha	uKa	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	F>3. <s>‘igupaDa—’</s> (3-1-135) <s>iti kartari kaH . uK
95	uca	uca	uca	uca	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	samavEtIti nyokaH = Sakunto vfzalo vA . kartari kaH .</s
100	ujjha	ujJa	udakamityarthe	udakamityarTe	local		kartari	agent (kartari)	kyap	kyap	Participle	kṛt affix 'kyap' -> -ya; future passive participle / gerundive | anubandha: k = kit -> no guṇa; p = pit -> anudātta		WIL	to nade . ujJati-</s>- <s>udakamityarTe kartari kyap .</s
108	uṣa	uza	uṣa	uza	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	. <s>‘igupaDajYA—’</s> (3-1-135) <s>iti kartari kaH .</s
114	ūrṇuñ	UrRuY	ūrṇuñ	UrRuY	headword-root		BAve	action / abstract (bhāve)	ap	ap	Agent — the doer	kṛt affix 'ap' -> -a; action / agent noun | anubandha: p = pit -> anudātta affix (3.1.4)		WIL	> <F>6. <s>‘Fdorap’</s> (3-3-57) <s>iti BAve ap .</s
123	ṛṇu	fRu	ṛṇu	fRu	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	. <s>‘igupaDajYA—’</s> (3-1-135) <s>iti kartari kaH .</s
125	ṛdhu	fDu	ṛdhu	fDu	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	DajYAprIkiraH kaH’</s> (3-1-135) <s>iti kartari kaH .</s
139	kaka	kaka	bāhulakāt	bAhulakAt	local		kartari	agent (kartari)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	iti zatvam .</s></F> <F>2. <s>bAhulakAt kartari GaY .</s
186	kāśṛ	kASf	kāśṛ	kASf	headword-root		BAve	action / abstract (bhāve)	ṇvul	Rvul	Agent — the doer	kṛt affix 'ṇvul' -> -aka; agent noun (vṛddhi) | anubandha: nit (.n): causes vrddhi of the base vowel (7.2.115-117); indicatory u: distinguishes the affix; conditions i.t in some forms; lit: acute on the vowel just before the it-letter (6.1.193)	ṇ = it (→ vṛddhi) ; l = it ; vu → aka (P.7.1.1) ; → -aka	Apte-SH(affix_map.tsv)	>1. <s>‘saMjYAyAm’</s> (3-3-109) <s>iti BAve Rvul . Rv
189	ki	ki	ki	ki	headword-root		BAve	action / abstract (bhāve)	ac	ac	Agent — the doer	kṛt affix 'ac' -> -a; agent / action -a | anubandha: cit: final acute accent, antodatta (6.1.163)	c = it ; → -a	Apte-SH(affix_map.tsv)	/F> <F>1. <s>‘erac’</s> (3-3-56) <s>iti BAve ac .</s
190	kiṭa	kiwa	kiṭa	kiwa	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	DajYAprIkiraH kaH’</s> (3-1-135) <s>iti kartari kaH .</s
195	kīla	kIla	kīla	kIla	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	DAjYAprIkiraH kaH’</s> (3-1-135) <s>iti kartari kaH .</s
196	ku	ku	ku	ku	headword-root		BAve	action / abstract (bhāve)	ap	ap	Agent — the doer	kṛt affix 'ap' -> -a; action / agent noun | anubandha: p = pit -> anudātta affix (3.1.4)		WIL	> <F>8. <s>‘Fdorap’</s> (3-3-57) <s>iti BAve ap .</s
203	kuju	kuju	kuju	kuju	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	DajYAprIkiraH kaH’</s> (3-1-135) <s>iti kartari kaH .</s
218	kutha	kuTa	kutha	kuTa	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	F>1. <s>‘igupaDa—’</s> (3-1-135) <s>iti kartari kaH prat
224	kupa	kupa	kupa	kupa	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	. <s>‘igupaDajYA—’</s> (3-1-135) <s>iti kartari kaH prat
229	kura	kura	kura	kura	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	. <s>‘igupaDajYA—’</s> (3-1-135) <s>iti kartari kaH .</s
244	kūla	kUla	kūla	kUla	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	. <s>‘igupaDajYA—’</s> (3-1-135) <s>iti kartari kaH . ya
246	kṛñ	kfY	bhūte	BUte	local		kartari	agent (kartari)	kvip	kvip	Bare root / zero affix	kṛt affix 'kvip' -> -∅; zero affix -> root used directly as a noun | anubandha: k,v,i,p all it -> the whole affix elides (6.1.67)		WIL	kfYaH’</s> (3-2-89) <s>iti svAdizu BUte kartari kvip . tu
246	kṛñ	kfY	bhaviṣyati	Bavizyati	local		kartari	agent (kartari)	ṇvul	Rvul	Agent — the doer	kṛt affix 'ṇvul' -> -aka; agent noun (vṛddhi) | anubandha: nit (.n): causes vrddhi of the base vowel (7.2.115-117); indicatory u: distinguishes the affix; conditions i.t in some forms; lit: acute on the vowel just before the it-letter (6.1.193)	ṇ = it (→ vṛddhi) ; l = it ; vu → aka (P.7.1.1) ; → -aka	Apte-SH(affix_map.tsv)	yArTAyAm’</s> (3-3-10) <s>iti Bavizyati kartari Rvul .</s
247	kṛḍa	kfqa	kṛḍa	kfqa	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	. <s>‘igupaDajYA—’</s> (3-1-135) <s>iti kartari kapraty
248	kṛtī	kftI	kṛtī	kftI	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	F>4. <s>‘igupaDa—’</s> (3-1-135) <s>iti kartari kaH prat
248	kṛtī	kftI	kṛtī	kftI	headword-root		kartari	agent (kartari)	lyu	lyu	Other	uncurated affix 'lyu' | it-letters: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms		generic-decoder	AWAt ‘nandigrahi—’</s> (3-1-134) <s>iti kartari lyuH . vi
252	kṛpū	kfpU	kṛpū	kfpU	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	. <s>‘igupaDajYA—’</s> (3-1-135) <s>iti kartari kaH .</s
255	kṛṣa	kfza	ṇyantām	RyantAm	local		kartari	agent (kartari)	lyu	lyu	Other	uncurated affix 'lyu' | it-letters: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms		generic-decoder	>nandyAdipAWAt</s> (3-1-134) <s>RyantAm kartari lyuH .</s
257	kṝ	kF	kṝ	kF	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	DajYAprIkiraH kaH’</s> (3-1-135) <s>iti kartari kaH . ki
258	kṝñ	kFY	kṝñ	kFY	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	DajYAprIkiraH kaH’</s> (3-1-135) <s>iti kartari kaH .</s
259	kṝta	kFta	kṝta	kFta	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	akze ‘igupaDajYA—’</s> (3-1-135) <s>iti kartari kaH . te
263	kai	kE	kai	kE	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	<s>‘AtaScopasarge’</s> (3-1-136) <s>iti kartari kaH . ‘A
267	knūyī	knUyI	knūyī	knUyI	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	DajYAprIkiraH kaH’</s> (3-1-135) <s>iti kartari kaH .</s
270	kradi	kradi	kradi	kradi	headword-root		kartari	agent (kartari)	lyu	lyu	Other	uncurated affix 'lyu' | it-letters: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms		generic-decoder	RyantAt nandyAdipAWAt</s> (3-1-134) <s>kartari lyuH .</s
270	kradi	kradi	ākrandyate'treti	Akrandyate'treti	local		aDikaraRe	location (adhikaraṇe)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	yuc .</s></F> <F>1. <s>Akrandyate'treti aDikaraRe GaY . du
270	kradi	kradi	kradi	kradi	headword-root		karaRe	instrument (karaṇe)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	raRADikaraRayoSca’</s> (3-3-117) <s>iti karaRe GaY .</s
274	krīñ	krIY	krīñ	krIY	headword-root		BAve	action / abstract (bhāve)	ac	ac	Agent — the doer	kṛt affix 'ac' -> -a; agent / action -a | anubandha: cit: final acute accent, antodatta (6.1.163)	c = it ; → -a	Apte-SH(affix_map.tsv)	/F> <F>1. <s>‘erac’</s> (3-3-56) <s>iti BAve ac .</s
275	krīḍṛ	krIqf	krīḍṛ	krIqf	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	DajYAprIkiraH kaH’</s> (3-1-135) <s>iti kartari kaH .</s
277	krudha	kruDa	krudha	kruDa	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	. <s>‘igupaDajYA—’</s> (3-1-135) <s>iti kartari kaH .</s
279	kruśa	kruSa	kruśa	kruSa	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	. pakze ‘igupaDa—’</s> (3-1-135) <s>iti kartari kaH .</s
286	klidū	klidU	klidū	klidU	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	ajYAprIkiraH kaH—’</s> (3-1-135) <s>iti kartari kaH prat
302	kṣi	kzi	kṣi	kzi	headword-root		kartari	agent (kartari)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	Ri ktaH kartari ca’</s> (3-4-71) <s>iti kartari ktaH .</s
304	kṣi	kzi	bāhulakāt	bAhulakAt	local		aDikaraRe	location (adhikaraṇe)	ṣṭran	zwran	Other	uncurated affix 'ṣṭran' | it-letters: sit (.s): feminine is formed with nis -i (4.1.41); tit (.t): feminine is formed with nip -i (4.1.15)		generic-decoder	bahulam’</s> (3-3-113) <s>iti bAhulakAt aDikaraRe zwranpraty
305	kṣiṇu	kziRu	kṣiṇu	kziRu	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	DajYAprIkiraH kaH’</s> (3-1-135) <s>iti kartari kaH prat
306	kṣipa	kzipa	kṣipa	kzipa	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	DajYAprIkiraH kaH’</s> (3-1-135) <s>iti kartari kaH prat
309	kṣīja	kzIja	kṣīja	kzIja	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	DajYAprIkiraH kaH’</s> (3-1-135) <s>iti kartari kaH .</s
314	kṣudir	kzudir	kṣudir	kzudir	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	F>5. <s>‘igupaDa—’</s> (3-1-135) <s>iti kartari kaH .</s
321	kṣai	kzE	kṣai	kzE	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	<s>‘AtaScopasarge’</s> (3-1-136) <s>iti kartari kaH prat
326	kṣvidā	kzvidA	vartamāne	vartamAne	local		kartari	agent (kartari)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	aH ktaH’</s> (3-2-187) <s>iti vartamAne kartari ktaH . ‘A
349	khida	Kida	khida	Kida	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	DajYAprIkiraH kaH’</s> (3-1-135) <s>iti kartari kaH prat
361	khai	KE	khai	KE	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	s>‘AtaScopasarge’</s>, (3-1-136) <s>iti kartari kaH . ‘A
365	khyā	KyA	khyā	KyA	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	<F>6. <s>‘sami KyaH’</s> (3-2-7) <s>iti kartari kapraty
376	gamḷ	gamx	gamḷ	gamx	headword-root		aDikaraRe	location (adhikaraṇe)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	ratyavasAnArTeByaH’</s> (3-4-76) <s>iti aDikaraRe ktaH .</s
376	gamḷ	gamx	gamḷ	gamx	headword-root		kartari	agent (kartari)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	‘gatyarTAkarmaka—’</s> (3-4-72) <s>iti kartari ktaH</s>
376	gamḷ	gamx	ityatra	ityatra	local		BAve	action / abstract (bhāve)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	o gataH’ ityatra . ‘gatamanena’ ityatra BAve ktaH . ‘a
376	gamḷ	gamx	treti	treti	local		aDikaraRe	location (adhikaraṇe)	ḍa	qa	Agent — the doer	kṛt affix 'ḍa' -> -a; agent noun (esp. after an upapada) | anubandha: ḍ = ḍit -> the ṭi of the base is elided (6.4.143)		WIL	ma . nirantaraM gacCantya</s>- <s>treti aDikaraRe qaH .</s
393	gāṅ	gAN	gāṅ	gAN	headword-root		BAve	action / abstract (bhāve)	ktin	ktin	Action / result noun	kṛt affix 'ktin' -> -ti; action noun (fem. -ti) | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it ; n = it ; → -ti	Apte-SH(affix_map.tsv)	‘sTAgApApaco BAve’</s> (3-3-95) <s>iti BAve ktin .</s
405	gudha	guDa	gudha	guDa	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	. <s>‘igupaDajYA—’</s> (3-1-135) <s>iti kartari kaH .</s
409	gupa	gupa	gupa	gupa	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	. <s>‘igupaDajYA—’</s> (3-1-135) <s>iti kartari kaH .</s
426	gṛhū	gfhU	gṛhū	gfhU	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	. <s>‘igupaDajYA—’</s> (3-1-135) <s>iti kartari kapraty
432	gai	gE	ityādinā	ityAdinA	local		kartari	agent (kartari)	yat	yat	Gerundive — “to-be-Xed”	kṛt affix 'yat' -> -ya; gerundive -ya | anubandha: tit: svarita accent on the affix (6.1.185)	t = it ; → -ya	Apte-SH(affix_map.tsv)	s>‘Bavyageya—’</s> (3-4-68) <s>ityAdinA kartari yatpraty
432	gai	gE	gai	gE	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	<s>‘AtaScopasarge’</s> (3-1-136) <s>iti kartari kapraty
