L_id	headword	headword_slp1	root	root_slp1	root_source	prefixes	karaka	karaka_sense	affix	affix_slp1	group	anubandha	anubandha_steps	affix_source	context
6	aghi	aGi	aghi	aGi	headword-root		BAve	action / abstract (bhāve)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	(2.) <s>iti DAtuvad boDyAni . aNGitam = BAve ktaH ‘ara
41	arda	arda	nandyāditvāt	nandyAditvAt	local		kartari	agent (kartari)	lyu	lyu	Other	uncurated affix 'lyu' | it-letters: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms		generic-decoder	Byo—’</s> (3-1-134) <s>iti nandyAditvAt kartari lyuH .</s
41	arda	arda	arda	arda	headword-root		kartari	agent (kartari)	lyu	lyu	Other	uncurated affix 'lyu' | it-letters: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms		generic-decoder	BAvapakze nandyAditvAt</s> (3-1-134) <s>kartari lyuH .</s
48	aśa	aSa	aśa	aSa	headword-root		aDikaraRe	location (adhikaraṇe)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	sAnArTeByaH’</s> (3-4-76) <s>iti</s> <s>aDikaraRe ktaH .</s
48	aśa	aSa	aśa	aSa	headword-root		kartari	agent (kartari)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	At ‘AdikarmaRiktaH’—(</s>3-4-71) <s>iti kartari ktaH .</s
53	asu	asu	asu	asu	headword-root		BAve	action / abstract (bhāve)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	e saMjYAyAm’</s> (3-3-19) <s>iti</s> <s>BAve GaY .</s
61	āsa	Asa	ity	ity	local		aDikaraRe	location (adhikaraṇe)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	ityAsaH . ‘halaSca’</s> (3-3-121) <s>ityaDikaraRe GaY .</s
63	ikha	iKa	ikha	iKa	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	DajYAprIkiraH kaH’</s> (3-1-135) <s>iti kartari kaH, guR
64	ikhi	iKi	ikhi	iKi	headword-root		kartari	agent (kartari)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	preNKatIti—preNKaRaH . bAhulakAt</s> <s>kartari lyuw . it
66	iṅ	iN	saṃjñāyāṃ	saMjYAyAM	local		aDikaraRe	location (adhikaraṇe)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	’</s> (3-3-122) <s>iti</s> <s>saMjYAyAM aDikaraRe GaY . GA
68	iṇ	iR	iṇ	iR	headword-root		BAve	action / abstract (bhāve)	kyap	kyap	Participle	kṛt affix 'kyap' -> -ya; future passive participle / gerundive | anubandha: k = kit -> no guṇa; p = pit -> anudātta		WIL	RaH’</s> (3-3-99) <s>iti striyAM</s> <s>BAve kyap .</s
71	ila	ila	ila	ila	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	DajYAprIkiraH kaH’</s> (3-1-135) <s>iti kartari kaH . wA
74	iṣa	iza	iṣa	iza	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	. <s>‘igupaDajYA—’</s> (3-1-135) <s>iti kartari kaH .</s
83	īra	Ira	īra	Ira	headword-root		kartari	agent (kartari)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	DajYAprIkiraH kaH’</s> (3-1-135) <s>iti kartari kaH . vA
83	īra	Ira	nandyāditvāt	nandyAditvAt	local		kartari	agent (kartari)	lyu	lyu	Other	uncurated affix 'lyu' | it-letters: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms		generic-decoder	uH .</s> <s>aTavA, RyantAt nandyAditvAt kartari lyuH .</s
