root,derivatives
kṛ,865
bhū,454
i,336
dhā,274
gam,244
sthā,212
dā,207
yā,206
han,189
car,173
a,169
as,166
pat,160
vah,160
hṛ,151
ci,147
vas,140
kram,138
jñā,135
grah,135
