karaka,sense,SKD,VCP,Apte,AP,SHS,KRM
BAve,bhāve,1011,1975,206,202,178,30
karaRe,karaṇe,341,709,67,73,38,26
karmaRi,karmaṇi,445,409,0,0,1,0
kartari,kartari,291,516,56,61,39,227
aDikaraRe,adhikaraṇe,109,5,0,0,1,19
apAdAne,apādāne,14,45,3,3,1,2
sampradAne,sampradāne,3,5,0,0,0,1
