affix,bhāve,karaṇe,karmaṇi,kartari,adhikaraṇe,apādāne,sampradāne
lyuṭ,1249,627,81,21,37,8,0
ghañ,925,301,163,58,52,12,4
kta,413,23,300,339,8,0,0
ac,154,47,30,170,3,7,0
ktin,242,46,7,3,5,2,0
ap,134,46,33,0,8,27,0
kvip,102,23,11,50,3,6,0
ka,12,23,14,134,3,1,0
lyu,6,3,0,173,0,0,0
yat,28,11,69,26,3,0,1
