variant_slp1	variant_iast	canonical_slp1	canonical_iast
Apa	āpa	Ap	āp
Asa	āsa	As	ās
BAma	bhāma	BAm	bhām
BAsa	bhāsa	BAs	bhās
BAza	bhāṣa	BAz	bhāṣ
BUza	bhūṣa	BUz	bhūṣ
BaRa	bhaṇa	BaR	bhaṇ
BaYja	bhañja	BaYj	bhañj
Baja	bhaja	Baj	bhaj
Bakza	bhakṣa	Bakz	bhakṣ
Bala	bhala	Bal	bhal
Balla	bhalla	Ball	bhall
Baza	bhaṣa	Baz	bhaṣ
BfSa	bhṛśa	BfS	bhṛś
Bida	bhida	Bid	bhid
Brama	bhrama	Bram	bhram
Buja	bhuja	Buj	bhuj
Cada	chada	Cad	chad
Cala	chala	Cal	chal
Canda	chanda	Cand	chand
Cida	chida	Cid	chid
Cupa	chupa	Cup	chup
Cura	chura	Cur	chur
DAva	dhāva	DAv	dhāv
DUpa	dhūpa	DUp	dhūp
Dama	dhama	Dam	dham
Dana	dhana	Dan	dhan
Dfza	dhṛṣa	Dfz	dhṛṣ
Dora	dhora	Dor	dhor
DrANkza	dhrāṅkṣa	DrANkz	dhrāṅkṣ
Durva	dhurva	Durv	dhurv
DvaMsa	dhvaṃsa	DvaMs	dhvaṃs
Dvaja	dhvaja	Dvaj	dhvaj
Dvana	dhvana	Dvan	dhvan
Fza	ṝṣa	fz	ṛṣ
GF	ghṝ	Gf	ghṛ
GUrRa	ghūrṇa	GUrR	ghūrṇ
Gasa	ghasa	Gas	ghas
Gawa	ghaṭa	Gaw	ghaṭ
Gawwa	ghaṭṭa	Gaww	ghaṭṭ
Gfza	ghṛṣa	Gfz	ghṛṣ
GuRa	ghuṇa	GuR	ghuṇ
Guza	ghuṣa	Guz	ghuṣ
ISa	īśa	IS	īś
Iha	īha	Ih	īh
Ija	īja	Ij	īj
Ikza	īkṣa	Ikz	īkṣ
Ira	īra	Ir	īr
Iza	īṣa	Iz	īṣ
Jama	jhama	Jam	jham
KAda	khāda	KAd	khād
Kada	khada	Kad	khad
Kaja	khaja	Kaj	khaj
Kala	khala	Kal	khal
Kana	khana	Kan	khan
Kaqa	khaḍa	Kaq	khaḍ
Karva	kharva	Karv	kharv
Kawa	khaṭa	Kaw	khaṭ
Kela	khela	Kel	khel
Kewa	kheṭa	Kew	kheṭ
Kida	khida	Kid	khid
Kiwa	khiṭa	Kiw	khiṭ
Kora	khora	Kor	khor
Kura	khura	Kur	khur
PaRa	phaṇa	PaR	phaṇ
Pala	phala	Pal	phal
Pulla	phulla	Pull	phull
QOka	ḍhauka	QOk	ḍhauk
SAla	śāla	SAl	śāl
SAsa	śāsa	SAs	śās
SIla	śīla	SIl	śīl
SUla	śūla	SUl	śūl
SUra	śūra	SUr	śūr
SUrpa	śūrpa	SUrp	śūrp
SUza	śūṣa	SUz	śūṣ
SaRa	śaṇa	SaR	śaṇ
SaSa	śaśa	SaS	śaś
SaWa	śaṭha	SaW	śaṭh
Sabda	śabda	Sabd	śabd
Sada	śada	Sad	śad
Saka	śaka	Sak	śak
Sama	śama	Sam	śam
Samba	śamba	Samb	śamb
Sapa	śapa	Sap	śap
Sarva	śarva	Sarv	śarv
Sasa	śasa	Sas	śas
Sava	śava	Sav	śav
Sawa	śaṭa	Saw	śaṭ
Siza	śiṣa	Siz	śiṣ
SlaTa	ślatha	SlaT	ślath
Sliza	śliṣa	Sliz	śliṣ
Sloka	śloka	Slok	ślok
SoRa	śoṇa	SoR	śoṇ
Srama	śrama	Sram	śram
SuBa	śubha	SuB	śubh
SuDa	śudha	SuD	śudh
Suca	śuca	Suc	śuc
Suka	śuka	Suk	śuk
Sulba	śulba	Sulb	śulb
Sulka	śulka	Sulk	śulk
Suza	śuṣa	Suz	śuṣ
SvaBra	śvabhra	SvaBr	śvabhr
Svala	śvala	Sval	śval
Svasa	śvasa	Svas	śvas
Tuqa	thuḍa	Tuq	thuḍ
Uha	ūha	Uh	ūh
Urja	ūrja	Urj	ūrj
Uza	ūṣa	Uz	ūṣ
aBra	abhra	aBr	abhr
aGa	agha	aG	agh
aMSa	aṃśa	aMS	aṃś
aMsa	aṃsa	aMs	aṃs
aNga	aṅga	aNg	aṅg
aNka	aṅka	aNk	aṅk
aRa	aṇa	aR	aṇ
aSa	aśa	aS	aś
aYca	añca	aYc	añc
aYja	añja	aYj	añj
aca	aca	ac	ac
ada	ada	ad	ad
aha	aha	ah	ah
aja	aja	aj	aj
akza	akṣa	akz	akṣ
ala	ala	al	al
ama	ama	am	am
amba	amba	amb	amb
anDa	andha	anD	andh
ana	ana	an	an
anta	anta	ant	ant
aqqa	aḍḍa	aqq	aḍḍ
arGa	argha	arG	argh
arTa	artha	arT	arth
arca	arca	arc	arc
arda	arda	ard	ard
arha	arha	arh	arh
arka	arka	ark	ark
arva	arva	arv	arv
asa	asa	as	as
ata	ata	at	at
ava	ava	av	av
awa	aṭa	aw	aṭ
awwa	aṭṭa	aww	aṭṭ
aya	aya	ay	ay
bADa	bādha	bAD	bādh
baDa	badha	baD	badh
bada	bada	bad	bad
bala	bala	bal	bal
banDa	bandha	banD	bandh
barha	barha	barh	barh
bida	bida	bid	bid
bila	bila	bil	bil
bisa	bisa	bis	bis
buDa	budha	buD	budh
bula	bula	bul	bul
busa	busa	bus	bus
cAya	cāya	cAy	cāy
cUrRa	cūrṇa	cUrR	cūrṇ
cUza	cūṣa	cUz	cūṣ
caRa	caṇa	caR	caṇ
caka	caka	cak	cak
cakza	cakṣa	cakz	cakṣ
cala	cala	cal	cal
cama	cama	cam	cam
cara	cara	car	car
carca	carca	carc	carc
carva	carva	carv	carv
caya	caya	cay	cay
cela	cela	cel	cel
cezwa	ceṣṭa	cezw	ceṣṭ
cfta	cṛta	cft	cṛt
cinta	cinta	cint	cint
cita	cita	cit	cit
cuda	cuda	cud	cud
cukka	cukka	cukk	cukk
cula	cula	cul	cul
culumpa	culumpa	culump	culump
cupa	cupa	cup	cup
dASa	dāśa	dAS	dāś
dAna	dāna	dAn	dān
dAsa	dāsa	dAs	dās
dAya	dāya	dAy	dāy
dIkza	dīkṣa	dIkz	dīkṣ
dIpa	dīpa	dIp	dīp
daMSa	daṃśa	daMS	daṃś
dada	dada	dad	dad
daha	daha	dah	dah
dakza	dakṣa	dakz	dakṣ
