L_id	headword	headword_slp1	source	source_slp1	source_class	is_root	source_gloss_de	deriv_marker	context
220	akta	akta	aj	aj	root	True		von	〉 Partic. von {#aj#} und {#aYj#}. — 2〉 f. {#A/#} .
222	akna	akna	ac	ac	root	True		Von	{#akna#}¦ Partic. Von {#ac#}.
436	agan	agan	gam	gam	root	True		von	Sg. Imperf. von {#gam#}.
797	agri	agri	agni	agni	root	True		von	ein zur Erklärung von {#agni#} erfundenes Wort ŚAT. BR. 2,2,4,2. 6,1,1,11.
1036	aṅgī	aNgI	aṅga	aNga	root	True		von	{#aNgI#}¦ (von 3. {#aNga#}) Adv. mit {#kara#} Act. mit Acc. — 1〉 . — 2〉
1617	atas	atas	a	a	root	True	dieser	von	sowohl in subst. als in Adj. (würde hier unbetont sein) Bed. Mit {#ekEka#} 32,3. {#BUyaM
2206	atṛṇat	atfRat	tard	tard	root	True		von	Sg. Imperf. von {#tard#}.
4350	anugraha	anugraha	au	O	root	True		von	
5581	annāda	annAda	annādī/	annAdI/	stem/word	False		Von	{#annAdi/tamA#} Adj. f.  als Bez. .
6248	apaviddha	apavidDa	vyadh	vyaD	root	True		von	#apavidDa#}¦ Partic. von {#vyaD#} mit {#apa#}.
6401	apātta	apAtta	dā	dA	root	True		von	{#apAtta#}¦ Partic. von {#dA#}, {#dadAti#} mit {#apA#}.
6634	apoḍha	apoQa	vah	vah	root	True		von	{#apoQa#}¦ Partic. von {#vah#} mit {#apa#}.
6653	aptu	aptu	pat	pat	root	True		von	{#aptu/#}¦ ({#a#} + {#ptu#} von {#pat#}) — 1〉 Adj.  MAITR. S. 3,9,1. — 2〉 m. .
7313	abhicārya	aBicArya	car	car	root	True		von	s. von {#car#} mit {#aBi#}.
7939	abhyānta	aByAnta	am	am	root	True		von	s. von {#am#} mit {#aBi#}.
8057	abhrya	aBrya	abhra	aBra	root	True		von	*{#aBrya#}¦ Adj. von {#aBra#}.
9249	arkatva	arkatva	arka	arka	root	True		von	m. abstr. von {#arka#} in unbest. Bed.
9301	arkīya	arkIya	arka	arka	root	True		von	*{#arkIya#}¦ Adj. von {#arka#}.
9541	arthāpay	arTApay	artha	arTa	root	True		von	#}¦ {#˚yati#} Denom. von {#arTa#}.
11320	avocat	avocat	vac	vac	root	True		von	am#}, {#˚cas#}¦ Aor. von {#vac#}.
12015	aṣṭa	azwa	akṣa	akza	root	True		von	〉 Partic. von {#akza#} (in 1. {#azwakarRa#}) und 1. {#aS#} — 2〉 am Ende eines adj. Comp. =
12183	as	as	ās	As	root	True		von	
12590	asi	asi	as	as	root	True		von	#as#}.
13337	āṃśa	AMSa	aṃśa	aMSa	root	True		von	. Patron. von {#aMSa#}.
13338	āṃśya	AMSya	aṃśa	aMSa	root	True		von	*{#AMSya#}¦ Adj. von {#aMSa#}.
13490	ākna	Akna	ac	ac	root	True		von	{#Akna#}¦ Partic. von {#ac#} mit {#A#}.
13521	ākṣāṇa	AkzARa	akṣ	akz	root	True		von	rtic. Perf. von {#akz#}.
13525	ākṣi	Akzi	aś	aS	root	True		von	d. von 1. {#aS#} TAITT. ĀR. 2,3,1.
13532	ākṣus	Akzus	aś	aS	root	True		von	te Pl. Aor. von 1. {#aS#}.
13733	āṅ	AN	ā	A	root	True		von	gramm. Bez. von 1. {#A#}.
13885	ājāyana	AjAyana	aja	aja	root	True		von	. Patron. von {#aja#}.
13939	ājya	Ajya	aja	aja	root	True		von	on {#aja#}.
13977	āṭa	Awa	aṭ	aw	root	True		von	#}. Auch {#Awaka#} (f. {#˚wikA#}). — 2〉 m. N. pr. eines Schlangendämons TĀṆḌYA-BR. 25,15,3
14045	ātata	Atata	tan	tan	root	True		von	{#Atata#}¦ Partic. von {#tan#} mit {#A#}.
14109	ātṛṇṇa	AtfRRa	tard	tard	root	True		von	{#AtfRRa#}¦ Partic. von {#tard#} mit {#A#}.
14130	āttha	AtTa	ah	ah	root	True		von	f. von {#ah#}.
14432	āditva	Aditva	ādi	Adi	root	True		von	m. abstr. von 1. {#Adi#} 1〉.
14506	āddhvam	AdDvam	ās	As	root	True		von	Pl. Imperf. von {#As#}.
14606	ānaṃśa	AnaMSa	aś	aS	root	True		von	e Sg. Perf. von 1. {#aS#}.
14612	ānaṭ	Anaw	aś	aS	root	True		von	te Sg. Aor. von 1. {#aS#}.
14618	ānata	Anata	nam	nam	root	True		von	{#Anata#}¦ Partic. von {#nam#} mit {#A#}.
14708	ānaśa	AnaSa	aś	aS	root	True		von	d {#AnaSyAm#}¦ Perfect-Formen von 1. {#aS#}.
14720	ānāśa	AnASa	aś	aS	root	True		von	e Sg. Perf. von 1. {#aS#}.
14805	ānta	Anta	am	am	root	True		von	{#Anta#}¦ Partic. von 1. {#am#}.
14919	āpātya	ApAtya	pat	pat	root	True		von	s. von {#pat#} mit {#A#}.
15055	ābhaṇḍana	ABaRqana	bhal	Bal	root	True		von	¦ n. als Bedeutung von {#Bal#}.
15086	ābhimukhya	ABimuKya	abhi	aBi	root	True		von	
15583	ārkāyaṇa	ArkAyaRa	arka	arka	root	True		von	on {#arka#}.
15585	ārkṣa	Arkza	ṛkṣa	fkza	root	True		von	
15587	ārkṣya	Arkzya	ṛkṣa	fkza	root	True		von	. Patron. von {#fkza#}.
15597	ārca	Arca	ṛc	fc	root	True		von	{#fc#}.
15602	ārcāyana	ArcAyana	ṛc	fc	root	True		von	. Metron. von {#fc#}.
15778	ārhāyaṇa	ArhAyaRa	arha	arha	root	True		von	. Patron. von {#arha#}.
16047	āvya	Avya	av	av	root	True		von	}¦ Absol. von {#av#}.
16298	āṣṭa	Azwa	aś	aS	root	True		von	r. von 1. {#aS#}.
16313	ās	As	as	as	root	True		von	1. {#as#} 19,18.
16379	āsāvya	AsAvya	su	su	root	True		von	s. von {#su#}, {#sunoti#} mid {#A#}.
16392	āsīna	AsIna	ās	As	root	True		von	tic. praes. von 2. {#As#}.
16511	āsse	Asse	ās	As	root	True		von	s. von 2. {#As#}.
16625	i	i	a	a	root	True		von	
16763	itas	itas	a	a	root	True		von	to janAt#} dass. — 2〉 in der Bed. des Loc. von 1. {#a#}. Auf den Sprechenden bezogen so v.
17210	iyeṣa	iyeza	iṣ	iz	root	True		von	f. von 3. {#iz#}.
17393	iṣṭvā	izwvA	yaj	yaj	root	True		von	{#izwvA/#}¦ Absol. von {#yaj#}.
17441	īkṣe	Ikze	īkṣ	Ikz	root	True		von	d. von {#Ikz#} und 2. Sg. Med. von {#IS#}.
17441	īkṣe	Ikze	īś	IS	root	True		von	
17449	ījāna	IjAna	yaj	yaj	root	True		von	rtic. Perf. von {#yaj#}.
17451	ījitum	Ijitum	yaj	yaj	root	True		von	
17457	īṇmant	IRmant	īś	IS	root	True		von	*{#IRmant#}¦ Adj. von 2. {#IS#}.
17467	īps	Ips	āp	Ap	root	True		von	}¦ {#Ipsati#} Desid. von {#Ap#}.
17475	īyivaṃs	IyivaMs	i	i	root	True		von	rtic. Perf. von 3. {#i#}.
17576	īṣathus	IzaTus	iṣ	iz	root	True		von	f. von 3. {#iz#}.
17599	īṣus	Izus	iṣ	iz	root	True		von	f. von 3. {#iz#}.
17621	uktavant	uktavant	vac	vac	root	True		von	rtic. Perf. von {#vac#}.
17626	uktvā	uktvA	vac	vac	root	True		von	{#uktvA#}¦ Absol. von {#vac#}.
17826	ucchiṣya	ucCizya	śiṣ	Siz	root	True		von	} mit {#ud#}.
17852	ucchrita	ucCrita	śri	Sri	root	True		von	{#ucCrita#}¦ Partic. von {#Sri#} mit {#ud#} *m.  RĀJAN. 12,38.
18888	udita	udita	i	i	root	True		von	tic. — 1〉 von {#i#} mit {#ud#}. — 2〉 von {#vad#}. — 3〉 nachlässige Schreibart für {#uddita
18888	udita	udita	vad	vad	root	True		von	on {#vad#}. — 3〉 nachlässige Schreibart für {#uddita#}.
18903	udīrṇa	udIrRa	īr	Ir	root	True		von	{#udIrRa#}¦ Partic. von {#Ir#} mit {#ud#}.
19261	unap	unap	ubh	uB	root	True		von	f. von {#uB#}.
19266	unna	unna	ud	ud	root	True		von	{#unna#}¦ Partic. von 2. {#ud#}.
19529	upaceya	upaceya	ci	ci	root	True		von	s. von {#ci#} mit {#upa#}. *{#˚pfqa#} MAHĀBH. 3,60,a. Vgl. {#upacAyya˚#}.
19595	upadātar	upadAtar	dī	dI	root	True		von	Nom. ag. von {#dI#} mit {#upa#} KĀŚ. zu P. 6,1,50.
19596	upadātavya	upadAtavya	dī	dI	root	True		von	s. von {#dI#} mit {#upa#} KĀŚ. zu P. 6,1,50.
19598	upadāna	upadAna	dī	dI	root	True		von	mit {#upa#}.
20398	upāsti	upAsti	ās	As	root	True		von	#upa#} als Bez.  ŚAṂK. zu BĀDAR. 4,1,1.
20404	upita	upita	vap	vap	root	True	säen	von	{#upita#}¦ Partic. von {#vap#} .
20425	upeyivaṃs	upeyivaMs	i	i	root	True		von	rtic. Perf. von 3. {#i#} mit {#upa#}.
20450	upta	upta	vap	vap	root	True	scheeren und	von	on {#vap#}  {#vapa#} . — 2〉 *n.  GAL.
20457	ubdha	ubDa	ubh	uB	root	True		von	{#ubDa/#}¦ Partic. von {#uB#}.
20766	ulya	ulya	ula	ula	root	True		von	*{#ulya#}¦ Adj. von {#ula#} gaṇa {#balAdi#}.
20980	ūta	Uta	av	av	root	True		von	tic. — 1〉 von {#av#}. — 2〉 von {#vA, vayati#}.
21262	ūhivaṃs	UhivaMs	vah	vah	root	True		von	h {#Uhus#})¦ Partic. von {#vah#}.
21756	ekatas	ekatas	eka	eka	root	True	ein und derselbe	von	on {#eka#} . — 2〉 . {#ekatas — ekatas#}, {#anyatas, apara˚#} (im Loc.) oder bloss {#vA#} .
21767	ekatra	ekatra	eka	eka	root	True	ein	von	on {#eka#} . — 2〉 . {#ekatra — aparatra#} . {#ekasyAM diSi — ekatra — kutrApi#} PAÑCAD. 53
22032	ekahārya	ekahArya	yuga	yuga	root	True	Zeitalter	von	
22214	eta	eta	i	i	root	True		von	¦ Partic. von 3. {#i#} mit {#A#}.
22236	etave	etave	i	i	root	True		von	¦ Dat. Inf. von 3. {#i#} ṚV.
22250	etos	etos	i	i	root	True		von	¦ Abl. Inf. von 3. {#i#} ṚV.
