<L>10.1<pc>0003<k1>aMsia<k2>a/Msya, a/Msia<type>alt<LP>10<k1P>aMsya
<L>25.1<pc>0004<k1>akutrA<k2>a-ku/tra, a-ku/trA<type>alt<LP>25<k1P>akutra
<L>26.1<pc>0004<k1>akuDriac<k2>a-kuDrya^c, akuDri/ac<type>alt<LP>26<k1P>akuDryac
<L>51.1<pc>0006<k1>akzi<k2>a/kzi, akzi/<type>alt<LP>51<k1P>akzi
<L>69.1<pc>0007<k1>agastia<k2>aga/stya, aga/stia<type>alt<LP>69<k1P>agastya
<L>71.1<pc>0008<k1>ago<k2>a/-gu, a/-go<type>alt<LP>71<k1P>agu
<L>77.1<pc>0008<k1>agohia<k2>a/-gohya, a/gohia<type>alt<LP>77<k1P>agohya
<L>119.1<pc>0012<k1>aGaaSva<k2>aGA/Sva, aGa/-aSva<type>alt<LP>119<k1P>aGASva
<L>122.1<pc>0012<k1>aGnia<k2>a/Gnya, a/-Gnia<type>alt<LP>122<k1P>aGnya
<L>123.1<pc>0012<k1>aGnia<k2>aGnya/, aGnia/<type>alt<LP>123<k1P>aGnya
<L>143.1<pc>0015<k1>aNgia<k2>a/Ngya, a/Ngia<type>alt<LP>143<k1P>aNgya
<L>160.1<pc>0016<k1>aCA<k2>a/Ca, a/CA<type>alt<LP>160<k1P>aCa
<L>166.1<pc>0018<k1>aCidraUDan<k2>a/CidroDan, a/Cidra-UDan<type>alt<LP>166<k1P>aCidroDan
<L>168.1<pc>0018<k1>aCaukti<k2>a/Cokti, a/Ca-ukti<type>alt<LP>168<k1P>aCokti
<L>186.1<pc>0021<k1>ajASua<k2>ajA/Sva, ajA/Sua<type>alt<LP>186<k1P>ajASva
<L>197.1<pc>0022<k1>ajozia<k2>a/-jozya, a/-jozia<type>alt<LP>197<k1P>ajozya
<L>207.1<pc>0023<k1>ajria<k2>ajrya^, ajri/a<type>alt<LP>207<k1P>ajrya
<L>226.1<pc>0028<k1>atasAyia<k2>atasA/yya, atasA/yia<type>alt<LP>226<k1P>atasAyya
<L>251.1<pc>0030<k1>atia<k2>a/tya, a/tia<type>alt<LP>251<k1P>atya
<L>253.1<pc>0030<k1>atiAya<k2>aty-A/ya, atiA/ya<type>alt<LP>253<k1P>atyAya
<L>281.1<pc>0035<k1>adABia<k2>a/-dABya, a/-dABia<type>alt<LP>281<k1P>adABya
<L>319.1<pc>0039<k1>adyUtia<k2>a-dyUtya^, adyUti/a<type>alt<LP>319<k1P>adyUtya
<L>341.1<pc>0041<k1>advizeRia<k2>a-dvizeRya/, advizeRia/<type>alt<LP>341<k1P>advizeRya
<L>356.1<pc>0046<k1>aDigartia<k2>a/Di-gartya, a/Digartia<type>alt<LP>356<k1P>aDigartya
<L>370.1<pc>0047<k1>aDizavaRia<k2>aDizavaRya^, aDizavaRi/a<type>alt<LP>370<k1P>aDizavaRya
<L>377.1<pc>0047<k1>aDasakza<k2>aDo-akza/, aDas-akza/<type>alt<LP>377<k1P>aDoakza
<L>465.1<pc>0055<k1>anApia<k2>an-Apya/, anApia/<type>alt<LP>465<k1P>anApya
<L>484.1<pc>0056<k1>anindia<k2>a-nindya/, a-nindia/<type>alt<LP>484<k1P>anindya
<L>515.1<pc>0060<k1>anugra<k2>a/n-ugra, anugra/<type>alt<LP>515<k1P>anugra
<L>530.1<pc>0060<k1>anumAdia<k2>anumA/dya, anumA/dia<type>alt<LP>530<k1P>anumAdya
<L>545.1<pc>0061<k1>anUkia<k2>anUkya^, anUki/a<type>alt<LP>545<k1P>anUkya
<L>563.1<pc>0062<k1>anedia<k2>a/-nedya, a/-nedia<type>alt<LP>563<k1P>anedya
<L>580.1<pc>0066<k1>antarikzia<k2>anta/rikzya, anta/rikzia<type>alt<LP>580<k1P>antarikzya
